Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
useMutation,3894.967,243.435,16,src/app/dashboard/[serverId]/settings/page.tsx:35:24,1869.037
forwardRef,1018.320,6.699,152,../../packages/ui/src/ui/command.tsx:45:3,133.169
Identifier: RedisClientType<{ graph: ,732.628,732.628,1,../../packages/core/src/cache.ts:12:10,732.628
object,730.827,17.825,41,../../packages/core/src/zodSchemas/channelSchemas.ts:104:43,444.486
mutation,473.456,59.182,8,../../packages/api/src/router/server.ts:99:13,235.691
Identifier: any,362.798,7.887,46,../../packages/ui/src/layouts/root.tsx:46:10,125.146
omit,334.035,16.702,20,../../packages/core/src/zodSchemas/channelSchemas.ts:107:10,133.620
map,305.654,2.264,135,../../packages/core/src/discord-account.ts:62:21,22.491
psDrizzle,280.046,140.023,2,../../packages/core/src/db.ts:36:54,279.443
createInsertSchema,213.427,16.417,13,../../packages/core/src/schema.ts:197:36,167.238
cn,168.971,9.387,18,../../packages/ui/src/discord-avatar.tsx:21:10,55.673
input,162.458,3.778,43,../../packages/api/src/router/channel.ts:117:9,45.143
createEnv,109.403,8.416,13,../../packages/env/src/shared.ts:87:26,41.943
relations,92.806,2.652,35,../../packages/core/src/schema.ts:57:30,36.049
deepPartial,92.778,23.195,4,../../packages/core/src/zodSchemas/serverSchemas.ts:26:13,69.796
findFirst,87.919,1.832,48,../../packages/core/src/server.ts:177:21,15.422
mysqlTable,79.521,4.185,19,../../packages/core/src/schema.ts:64:26,12.962
extend,78.258,6.020,13,../../packages/core/src/zodSchemas/channelSchemas.ts:95:30,38.062
"Identifier: Readonly<{ NODE_ENV: ""dev",73.648,24.549,3,../../packages/core/src/db.ts:8:14,56.117
router,69.206,2.163,32,../../packages/api/src/router/server.ts:72:36,11.731
merge,68.884,13.777,5,../../packages/core/src/zodSchemas/userServerSettingsSchemas.ts:36:41,46.983
twMerge,67.234,3.362,20,../../packages/ui/src/ui/heading.tsx:11:10,21.681
any,65.866,21.955,3,../../packages/core/src/search.ts:16:13,31.742
findMany,61.806,2.575,24,../../packages/core/src/pages.ts:191:20,12.544
all,59.501,2.705,22,../../packages/core/src/pages.ts:247:47,18.699
toLocaleString,59.272,11.854,5,src/app/dashboard/[serverId]/components/home.tsx:125:18,39.581
many,57.092,8.156,7,../../packages/core/src/schema.ts:58:11,28.447
Identifier: string,56.518,3.325,17,../../packages/ui/src/pricing.tsx:402:11,38.346
preventDefault,54.415,9.069,6,src/app/dashboard/[serverId]/components/home.tsx:329:11,21.078
applyUserServerSettingsChangesSideEffects,52.925,8.821,6,../../packages/core/src/user-server-settings.ts:178:26,27.641
filter,49.198,4.473,11,../../packages/core/src/discord-account.ts:53:33,27.133
useQuery,48.180,2.008,24,src/app/dashboard/[serverId]/components/navbar.tsx:37:7,8.245
"Identifier: { width?: number | ""full""",46.005,23.002,2,../../packages/ui/src/icons/answer-overflow-logo.tsx:16:11,45.872
pick,45.695,3.264,14,../../packages/api/src/router/user-server-settings.ts:128:10,14.612
use,41.904,5.238,8,../../packages/api/src/router/trpc.ts:98:22,24.770
toString,40.952,10.238,4,../../packages/core/src/analytics.ts:15:8,32.543
values,36.788,18.394,2,../../packages/core/src/auth.ts:171:41,27.556
customType,32.790,10.930,3,../../packages/core/src/schema.ts:18:20,19.350
required,31.168,5.195,6,../../packages/core/src/zodSchemas/serverSchemas.ts:22:29,20.604
"StringLiteral: { readonly name: ""User Gr",30.308,15.154,2,../../packages/core/src/analytics.events.ts:4:22,30.207
Identifier: { readonly 'User Grant Co,30.259,30.259,1,../../packages/core/src/analytics.events.ts:4:13,30.259
one,24.489,2.226,11,../../packages/core/src/schema.ts:101:17,10.116
enum,21.467,2.385,9,../../packages/env/src/shared-schema.mjs:97:56,6.440
select,21.129,1.625,13,../../packages/core/src/channel.ts:148:8,8.487
query,19.069,0.545,35,../../packages/api/src/bot/index.ts:32:10,9.176
zStringDefaultInDev,18.831,4.708,4,../../packages/env/src/shared.ts:93:15,7.050
callAPI,18.731,18.731,1,src/app/page.tsx:5:23,18.731
array,17.634,3.527,5,../../packages/core/src/search.ts:164:14,10.477
applyServerSettingsSideEffects,17.500,2.500,7,../../packages/core/src/server.ts:59:28,8.916
primaryKey,16.197,5.399,3,../../packages/core/src/schema.ts:49:11,13.999
then,16.106,0.947,17,../../packages/core/src/message.ts:353:9,5.353
protectedFetch,15.096,0.539,28,../../packages/api/src/router/discord-accounts.ts:75:10,2.039
upsertMany,14.809,2.468,6,../../packages/core/src/discord-account.ts:141:8,12.606
varchar,13.660,2.277,6,../../packages/core/src/schema.ts:42:8,6.899
Identifier: LucideIcon,13.577,13.577,1,../../packages/ui/src/ui/calendar.tsx:56:34,13.577
discordIconStyles,13.396,6.698,2,../../packages/ui/src/icons/index.tsx:30:10,6.953
fetchRequestHandler,12.372,3.093,4,src/app/api/trpc/[trpc]/route.ts:4:34,10.541
createTRPCProxyClient,11.973,11.973,1,../../packages/api/src/bot/caller.ts:5:25,11.973
slice,11.970,1.710,7,src/app/dashboard/[serverId]/components/domain.tsx:157:7,4.626
toLocaleDateString,11.954,3.985,3,src/app/dashboard/[serverId]/settings/components.tsx:84:12,6.285
applyPublicFlagsToMessages,11.843,2.961,4,../../packages/core/src/message.ts:244:20,6.036
createInvite,11.600,5.800,2,../../packages/api/src/bot/index.ts:89:24,11.360
getInitials,11.398,5.699,2,../../packages/ui/src/navbar/user-dropdown.tsx:78:5,7.781
protectedFetchManyWithPublicData,11.339,3.780,3,../../packages/api/src/router/discord-accounts.ts:43:10,10.730
updateDiscordAccount,10.858,10.858,1,../../packages/core/src/discord-account.ts:134:16,10.858
Identifier: Config,10.252,3.417,3,tailwind.config.cjs:11:8,7.306
Identifier: ForwardRefExoticComponent,10.131,3.377,3,src/app/dashboard/[serverId]/layout.tsx:37:9,7.773
Identifier: ForwardRefExoticComponent,10.027,2.005,5,src/app/dashboard/[serverId]/components/domain.tsx:294:6,8.342
Identifier: ServerIconProps,9.875,9.875,1,../../packages/ui/src/server-icon.tsx:22:10,9.875
getData,9.870,2.467,4,src/app/dashboard/[serverId]/channels/page.tsx:221:23,5.440
Identifier: ForwardRefExoticComponent,9.863,4.931,2,../../packages/ui/src/server-icon.tsx:31:4,6.012
findChannelById,9.803,4.901,2,../../packages/api/src/router/channel.ts:128:29,9.655
Identifier: ForwardRefExoticComponent,9.780,9.780,1,src/app/dashboard/[serverId]/components/home.tsx:237:9,9.780
require,9.587,2.397,4,tailwind.config.cjs:4:17,3.517
