Function Name,Self (ms),Duration (ms),Location
useMutation,1869.037,1927.532,src/app/dashboard/[serverId]/settings/page.tsx:35:24
useMutation,1731.629,1772.322,src/app/dashboard/[serverId]/channels/page.tsx:205:24
Identifier: RedisClientType<{ graph: ,732.628,732.756,../../packages/core/src/cache.ts:12:10
object,444.486,578.700,../../packages/core/src/zodSchemas/channelSchemas.ts:104:43
psDrizzle,279.443,279.443,../../packages/core/src/db.ts:36:54
mutation,235.691,245.429,../../packages/api/src/router/server.ts:99:13
mutation,235.127,248.888,../../packages/api/src/router/channel.ts:125:13
createInsertSchema,167.238,167.238,../../packages/core/src/schema.ts:197:36
omit,133.620,133.620,../../packages/core/src/zodSchemas/channelSchemas.ts:107:10
forwardRef,133.169,133.169,../../packages/ui/src/ui/command.tsx:45:3
Identifier: any,125.146,125.146,../../packages/ui/src/layouts/root.tsx:46:10
useMutation,79.002,79.002,src/app/dashboard/[serverId]/settings/page.tsx:35:24
useMutation,70.454,70.454,src/app/dashboard/[serverId]/channels/page.tsx:205:24
deepPartial,69.796,80.130,../../packages/core/src/zodSchemas/serverSchemas.ts:26:13
omit,68.462,68.462,../../packages/core/src/zodSchemas/channelSchemas.ts:87:34
omit,63.453,122.895,../../packages/core/src/zodSchemas/userServerSettingsSchemas.ts:40:5
useMutation,58.303,58.303,src/app/dashboard/[serverId]/settings/page.tsx:36:11
"Identifier: Readonly<{ NODE_ENV: ""dev",56.117,56.117,../../packages/core/src/db.ts:8:14
object,55.904,179.332,../../packages/core/src/zodSchemas/userServerSettingsSchemas.ts:39:49
cn,55.673,55.673,../../packages/ui/src/discord-avatar.tsx:21:10
forwardRef,49.481,49.481,../../packages/ui/src/ui/input.tsx:11:11
forwardRef,48.952,48.952,../../packages/ui/src/ui/select.tsx:14:22
merge,46.983,46.983,../../packages/core/src/zodSchemas/userServerSettingsSchemas.ts:36:41
forwardRef,45.964,50.158,../../packages/ui/src/ui/button.tsx:48:11
"Identifier: { width?: number | ""full""",45.872,45.872,../../packages/ui/src/icons/answer-overflow-logo.tsx:16:11
input,45.143,294.031,../../packages/api/src/router/channel.ts:117:9
useMutation,42.924,42.924,src/app/dashboard/[serverId]/channels/page.tsx:268:11
createEnv,41.943,65.813,../../packages/env/src/shared.ts:87:26
useMutation,40.511,40.511,src/app/dashboard/[serverId]/channels/page.tsx:206:11
toLocaleString,39.581,47.046,src/app/dashboard/[serverId]/components/home.tsx:125:18
Identifier: string,38.346,38.346,../../packages/ui/src/pricing.tsx:402:11
extend,38.062,38.062,../../packages/core/src/zodSchemas/channelSchemas.ts:95:30
input,37.424,282.853,../../packages/api/src/router/server.ts:91:9
object,36.766,36.766,../../packages/core/src/zodSchemas/serverSchemas.ts:47:29
omit,36.136,36.136,../../packages/core/src/zodSchemas/channelSchemas.ts:87:34
relations,36.049,87.718,../../packages/core/src/schema.ts:57:30
object,32.708,32.708,../../packages/core/src/zodSchemas/serverSchemas.ts:38:5
toString,32.543,76.131,../../packages/core/src/analytics.ts:15:8
object,32.453,32.453,../../packages/core/src/zodSchemas/channelSchemas.ts:99:30
any,31.742,31.742,../../packages/core/src/search.ts:16:13
Identifier: { readonly 'User Grant Co,30.259,30.259,../../packages/core/src/analytics.events.ts:4:13
"StringLiteral: { readonly name: ""User Gr",30.207,31.710,../../packages/core/src/analytics.events.ts:4:22
createEnv,29.938,49.824,../../packages/env/src/shared-schema.mjs:91:26
many,28.447,41.702,../../packages/core/src/schema.ts:58:11
applyUserServerSettingsChangesSideEffects,27.641,27.641,../../packages/core/src/user-server-settings.ts:178:26
values,27.556,42.059,../../packages/core/src/auth.ts:171:41
filter,27.133,32.830,../../packages/core/src/discord-account.ts:53:33
forwardRef,25.143,25.761,../../packages/ui/src/ui/accordion.tsx:10:22
forwardRef,24.917,24.917,../../packages/ui/src/ui/select.tsx:69:22
use,24.770,24.770,../../packages/api/src/router/trpc.ts:98:22
any,23.683,23.683,../../packages/core/src/search.ts:36:13
applyUserServerSettingsChangesSideEffects,23.436,23.436,../../packages/core/src/user-server-settings.ts:210:26
extend,23.179,23.179,../../packages/core/src/zodSchemas/discordAccountSchemas.ts:27:37
forwardRef,22.856,22.856,../../packages/ui/src/ui/label.tsx:12:14
