Function Name,Self (ms),Duration (ms),Location
Identifier: RedisClientType<{ graph: ,649.426,649.623,../core/src/cache.ts:12:10
object,399.058,528.441,../core/src/zodSchemas/channelSchemas.ts:104:43
psDrizzle,231.062,231.062,../core/src/db.ts:36:54
mutation,188.550,197.363,src/router/server.ts:99:13
mutation,182.346,197.238,src/router/channel.ts:125:13
string,162.355,162.355,../env/src/shared.ts:11:25
omit,128.696,128.696,../core/src/zodSchemas/channelSchemas.ts:107:10
omit,65.419,65.419,../core/src/zodSchemas/channelSchemas.ts:87:34
omit,61.231,103.943,../core/src/zodSchemas/userServerSettingsSchemas.ts:40:5
object,51.896,156.474,../core/src/zodSchemas/userServerSettingsSchemas.ts:39:49
input,49.283,246.646,src/router/server.ts:91:9
deepPartial,48.823,61.931,../core/src/zodSchemas/serverSchemas.ts:26:13
"Identifier: Readonly<{ NODE_ENV: ""dev",47.879,47.879,../core/src/db.ts:8:14
omit,39.289,39.289,../core/src/zodSchemas/channelSchemas.ts:87:34
extend,39.248,39.248,../core/src/zodSchemas/channelSchemas.ts:95:30
input,38.348,235.586,src/router/channel.ts:117:9
object,36.445,36.445,../core/src/zodSchemas/serverSchemas.ts:47:29
createEnv,35.082,57.137,../env/src/shared.ts:87:26
map,31.143,31.143,../core/src/channel.ts:326:36
object,28.651,28.651,../core/src/zodSchemas/channelSchemas.ts:99:30
toString,28.408,54.985,../core/src/analytics.ts:15:8
merge,27.623,30.590,../core/src/zodSchemas/userServerSettingsSchemas.ts:36:41
relations,27.292,69.107,../core/src/schema.ts:57:30
object,23.040,23.040,../core/src/zodSchemas/serverSchemas.ts:38:5
input,22.889,50.235,src/router/server.ts:91:9
input,22.359,45.191,src/router/channel.ts:117:9
values,21.398,23.719,../core/src/auth.ts:171:41
input,19.953,34.078,src/bot/index.ts:30:10
use,19.830,19.830,src/router/trpc.ts:98:22
"StringLiteral: { readonly name: ""User Gr",19.386,21.279,../core/src/analytics.events.ts:4:22
any,18.030,18.030,../core/src/search.ts:16:13
createInsertSchema,17.528,17.528,../core/src/schema.ts:197:36
many,17.479,31.154,../core/src/schema.ts:58:11
Identifier: { readonly 'User Grant Co,16.101,16.101,../core/src/analytics.events.ts:4:13
object,15.906,27.346,src/router/server.ts:92:10
many,15.223,26.027,../core/src/schema.ts:363:11
use,13.889,13.889,src/router/trpc.ts:101:40
all,13.702,53.113,../core/src/pages.ts:247:47
required,12.991,12.991,../core/src/zodSchemas/serverSchemas.ts:22:29
map,12.665,12.665,../core/src/discord-account.ts:94:4
omit,12.439,12.439,../core/src/zodSchemas/serverSchemas.ts:26:30
deepPartial,12.438,12.438,src/router/channel.ts:123:12
applyUserServerSettingsChangesSideEffects,12.123,12.123,../core/src/user-server-settings.ts:210:26
filter,12.116,12.116,../core/src/discord-account.ts:53:33
map,11.960,11.960,../core/src/discord-account.ts:62:21
applyUserServerSettingsChangesSideEffects,11.753,11.753,../core/src/user-server-settings.ts:178:26
merge,11.751,11.751,../core/src/zodSchemas/discordAccountSchemas.ts:23:37
pick,11.465,11.465,../core/src/zodSchemas/serverSchemas.ts:32:31
deepPartial,11.440,11.440,src/router/server.ts:97:12
all,11.069,11.069,src/router/dashboard.ts:173:61
then,10.678,10.678,../core/src/message.ts:353:9
required,10.586,10.586,../core/src/zodSchemas/channelSchemas.ts:49:23
any,10.523,10.523,../core/src/search.ts:122:13
object,10.394,22.832,src/router/channel.ts:118:10
enum,10.323,10.323,../env/src/shared.ts:63:8
router,10.273,30.775,src/router/user-server-settings.ts:78:45
one,9.961,22.153,../core/src/schema.ts:155:10
map,9.939,9.939,../core/src/discord-account.ts:103:21
filter,9.627,9.627,../core/src/channel.ts:335:23
object,9.439,21.204,../core/src/search.ts:154:34
customType,9.391,9.391,../core/src/schema.ts:26:18
extend,9.324,9.324,../core/src/zodSchemas/discordAccountSchemas.ts:27:37
all,9.030,9.047,../core/src/search.ts:420:36
protectedMutationFetchFirst,8.981,14.892,src/router/channel.ts:126:10
router,8.925,95.799,src/router/dashboard.ts:22:39
array,8.837,8.837,../core/src/search.ts:168:12
query,8.704,12.930,src/bot/index.ts:37:10
array,8.296,8.296,../core/src/search.ts:143:13
object,8.030,29.282,../core/src/search.ts:154:24
query,8.021,8.021,src/router/discord-accounts.ts:32:10
eq,7.808,7.808,../core/src/channel.ts:277:28
object,7.702,9.793,src/router/user-server-settings.ts:159:13
parse,7.665,7.665,../core/src/pages.ts:217:31
input,7.639,7.639,src/router/server.ts:73:7
omit,7.466,7.466,../core/src/zodSchemas/channelSchemas.ts:59:31
createInvite,7.381,7.381,src/bot/index.ts:89:24
many,7.365,7.365,../core/src/schema.ts:59:11
createTRPCProxyClient,7.315,7.315,src/bot/caller.ts:6:8
string,7.295,10.838,../env/src/shared.ts:11:25
protectedFetchManyWithPublicData,7.292,10.498,src/router/discord-accounts.ts:43:10
findFirst,7.278,24.501,../core/src/message.ts:174:8
enum,7.250,7.250,../env/src/shared.ts:81:64
object,7.248,30.667,../core/src/zodSchemas/serverSchemas.ts:37:29
"Identifier: Readonly<{ NODE_ENV: ""dev",7.042,7.042,../core/src/analytics.ts:47:15
mutateServer,7.014,8.813,src/router/server.ts:107:10
findMany,6.975,8.615,../core/src/message.ts:279:13
map,6.952,6.952,../core/src/discord-account.ts:49:67
use,6.944,26.958,src/router/trpc.ts:101:40
mysqlTable,6.943,10.555,../core/src/schema.ts:477:26
mysqlTable,6.790,13.331,../core/src/schema.ts:64:26
createInsertSchema,6.755,6.755,../core/src/schema.ts:223:40
extend,6.694,11.237,../core/src/schema.ts:521:13
parse,6.688,14.580,../core/src/pages.ts:216:8
findMany,6.610,15.225,../core/src/message.ts:278:8
required,6.517,6.517,../core/src/zodSchemas/channelSchemas.ts:49:23
createInsertSchema,6.471,6.471,../core/src/schema.ts:388:32
array,6.455,6.663,../core/src/auth.ts:606:12
many,6.359,17.817,../core/src/schema.ts:308:11
relations,6.254,7.168,../core/src/schema.ts:534:75
mysqlTable,6.221,8.689,../core/src/schema.ts:39:9
applyPublicFlagsToMessages,6.218,16.056,../core/src/message.ts:244:20
findFirst,6.205,6.205,../core/src/server.ts:177:21
mysqlTable,6.153,6.418,../core/src/schema.ts:65:12
any,6.109,6.109,../core/src/search.ts:36:13
zStringDefaultInDev,6.092,8.414,../env/src/shared.ts:93:15
mysqlTable,6.039,7.036,../core/src/schema.ts:181:33
applyChannelSettingsChangesSideEffects,6.033,6.033,../core/src/channel.ts:251:22
upsert,6.003,8.241,../core/src/user-server-settings.ts:236:8
required,5.826,5.826,../core/src/zodSchemas/userServerSettingsSchemas.ts:15:34
pick,5.816,168.655,src/router/user-server-settings.ts:128:10
map,5.809,62.027,../core/src/pages.ts:369:8
object,5.602,10.021,../core/src/zodSchemas/channelSchemas.ts:76:30
findChannelById,5.588,5.588,src/router/channel.ts:128:29
mysqlTable,5.472,12.036,../core/src/schema.ts:262:25
use,5.429,5.429,src/bot/index.ts:21:34
"Identifier: Record<string, boolean>",5.339,5.339,../core/src/utils/bitfieldUtils.ts:58:21
toString,5.284,26.577,../core/src/analytics.ts:15:32
from,5.114,5.114,../core/src/discord-account.ts:95:20
createEnv,4.912,17.940,../env/src/shared.ts:87:37
select,4.879,5.402,../core/src/channel.ts:351:19
mutate,4.825,4.825,src/router/channel.ts:140:25
addFlagsToServer,4.790,10.995,../core/src/server.ts:181:26
applyPublicFlagsToMessages,4.677,4.677,../core/src/message.ts:402:15
search,4.626,4.626,../core/src/search.ts:330:23
createEnv,4.614,13.028,../env/src/shared.ts:88:9
createInsertSchema,4.542,4.542,../core/src/schema.ts:521:29
findMany,4.525,4.525,../core/src/server.ts:75:21
createTRPCProxyClient,4.516,12.280,src/bot/caller.ts:5:25
one,4.488,11.646,../core/src/schema.ts:101:17
findFirst,4.459,4.459,../core/src/pages.ts:247:61
relations,4.366,4.366,../core/src/schema.ts:577:34
one,4.334,5.008,../core/src/schema.ts:97:7
pick,4.324,4.324,src/router/user-server-settings.ts:134:13
findMany,4.319,6.076,../core/src/pages.ts:256:32
protectedMutationFetchFirst,4.302,5.415,src/router/server.ts:125:38
required,4.284,4.284,../core/src/zodSchemas/serverSchemas.ts:22:29
router,4.275,265.367,src/router/server.ts:72:36
relations,4.261,30.288,../core/src/schema.ts:350:76
snowflake,4.234,4.234,../core/src/schema.ts:329:24
fetch,4.226,4.226,src/bot/index.ts:33:25
get,4.207,4.207,../core/src/message.ts:92:31
mysqlTable,4.194,6.564,../core/src/schema.ts:263:11
primaryKey,4.194,5.804,../core/src/schema.ts:49:11
findFirst,4.185,4.185,../core/src/pages.ts:38:19
createInsertSchema,4.184,4.184,../core/src/schema.ts:340:29
Identifier: Process,4.116,4.709,../env/src/shared.ts:2:14
object,4.103,4.103,../core/src/zodSchemas/channelSchemas.ts:77:5
mysqlTable,4.092,20.086,../core/src/schema.ts:38:23
createInsertSchema,3.955,3.955,../core/src/schema.ts:301:28
router,3.923,99.722,src/router/dashboard.ts:22:31
router,3.833,24.596,src/router/discord-accounts.ts:29:34
protectedFetch,3.777,15.890,src/router/dashboard.ts:110:11
map,3.668,4.892,src/router/dashboard.ts:91:12
values,3.660,27.378,../core/src/auth.ts:171:14
findMany,3.598,3.598,../core/src/message.ts:532:24
findMany,3.585,9.661,../core/src/pages.ts:255:70
mysqlTable,3.576,7.810,../core/src/schema.ts:313:12
router,3.557,9.800,src/router/auth.ts:10:34
applyServerSettingsSideEffects,3.553,3.553,../core/src/server.ts:59:34
string,3.543,3.543,../env/src/shared.ts:11:25
mysqlTable,3.427,11.237,../core/src/schema.ts:312:26
getNextAuthSession,3.414,3.414,../core/src/auth.ts:516:24
extend,3.373,7.328,../core/src/schema.ts:301:13
extend,3.371,7.555,../core/src/schema.ts:340:13
pick,3.284,3.284,../core/src/zodSchemas/serverSchemas.ts:54:29
findFirst,3.252,3.252,../core/src/user-server-settings.ts:187:24
parse,3.197,656.420,../core/src/auth.ts:717:11
createInsertSchema,3.182,3.420,../core/src/schema.ts:197:36
router,3.167,255.058,src/router/channel.ts:91:37
upsertMany,3.116,12.999,../core/src/channel.ts:324:20
relations,3.103,20.263,../core/src/schema.ts:96:32
omit,3.088,9.705,../core/src/zodSchemas/userServerSettingsSchemas.ts:24:42
mysqlTable,3.054,3.054,../core/src/schema.ts:162:36
relations,2.987,41.814,../core/src/schema.ts:57:49
