Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
map,5920.520,3.128,1893,../../packages/trpc/server/routers/viewer/teams/updateInternalNotesPresets.handler.ts:58:23,569.956
t,2327.884,2.251,1034,../../packages/features/ee/common/components/LicenseRequired.tsx:33:11,138.719
object,2309.619,3.019,765,../../packages/app-store/alby/zod.ts:26:56,150.467
Identifier: any,2066.382,4.979,415,../../packages/ui/components/avatar/Avatar.tsx:93:47,204.826
extend,1851.962,10.894,170,../../packages/prisma/zod/eventtype.ts:107:75,139.341
findMany,1701.370,2.011,846,../../packages/lib/server/repository/team.ts:92:22,194.869
update,1686.504,3.635,464,../../packages/lib/server/repository/user.ts:565:13,67.719
findFirst,1387.314,2.102,660,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:105:26,54.829
create,1366.511,2.795,489,../../packages/lib/server/repository/user.ts:596:23,117.131
classNames,1352.287,5.046,268,../../packages/ui/components/skeleton/Skeleton.tsx:96:20,276.704
setValue,1212.175,6.697,181,../../packages/features/ee/managed-event-types/hooks/useLockedFieldsManager.tsx:118:21,372.228
lazy,1081.904,4.161,260,../../packages/prisma/zod/user.ts:114:13,20.012
findUnique,1017.588,2.400,424,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:231:40,65.886
forwardRef,947.229,5.065,187,../../packages/app-store/routing-forms/components/FormActions.tsx:528:13,136.139
all,764.598,3.842,199,../../packages/lib/event-types/getEventTypesByViewer.ts:53:56,54.708
router,648.334,4.631,140,../../packages/trpc/server/routers/loggedInViewer/_router.tsx:75:44,41.275
array,573.176,4.409,130,../../packages/app-store/eventTypeAppCardZod.ts:7:17,213.476
input,550.937,1.175,469,../../packages/trpc/server/routers/viewer/webhook/_router.tsx:23:8,12.326
watch,540.585,13.515,40,../../packages/app-store/routing-forms/components/SingleForm.tsx:718:65,350.663
union,525.664,4.239,124,../../packages/lib/event-types/transformers/internal/locations.ts:47:8,39.844
getValues,487.323,6.016,81,../../packages/lib/hooks/useAppsData.ts:15:12,126.561
upsert,484.872,4.180,116,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:278:19,87.040
findUniqueOrThrow,462.143,4.531,102,../../packages/trpc/server/routers/viewer/eventTypes/update.handler.ts:55:29,76.687
query,458.749,1.475,311,../../packages/trpc/server/routers/loggedInViewer/_router.tsx:488:45,11.172
test,433.346,1.806,240,playwright/booking-seats.e2e.ts:122:100,13.868
createElement,407.571,9.057,45,../../packages/ui/components/list/List.tsx:122:9,83.154
deleteMany,370.486,3.632,102,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:69:44,220.674
filter,359.415,1.307,275,../../packages/lib/event-types/getEventTypesByViewer.ts:227:23,23.916
mockResolvedValue,341.599,28.467,12,test/lib/checkBookingLimits.test.ts:25:46,229.007
mutation,339.123,1.494,227,../../packages/trpc/server/routers/loggedInViewer/_router.tsx:389:15,10.813
"Identifier: ""span"" | TComponent",288.616,288.616,1,../../packages/ui/components/list/List.tsx:120:8,288.616
Identifier: <TComponent extends keyof,278.977,278.977,1,../../packages/ui/components/app-list-card/AppListCard.tsx:43:11,278.977
$transaction,275.057,2.523,109,../../packages/features/credentials/handleDeleteCredential.ts:190:35,21.350
find,274.907,1.580,174,../../packages/app-store/salesforce/components/EventTypeAppCardInterface.tsx:21:52,16.179
string,272.711,3.496,78,app/api/avatar/[uuid]/route.ts:11:8,16.836
useQuery,270.617,1.640,165,../../packages/features/embed/Embed.tsx:664:45,18.554
"Identifier: ""span"" | TComponent",262.443,262.443,1,../../packages/ui/components/list/List.tsx:136:8,262.443
toString,261.552,4.433,59,components/schemas/EventReservationSchema.tsx:54:24,110.272
monitorCallbackAsync,256.063,3.325,77,../../packages/trpc/server/routers/viewer/slots/util.ts:270:26,82.044
Identifier: (props: DetailedHTMLProps,250.004,14.706,17,../../packages/platform/atoms/availability/AvailabilitySettings.tsx:349:26,162.055
pick,247.760,10.772,23,../../packages/features/ee/users/server/trpc-router.ts:17:23,48.204
useLocale,245.617,12.927,19,../../packages/ui/components/skeleton/Skeleton.tsx:37:17,235.568
format,242.566,2.888,84,../../packages/features/calendars/weeklyview/components/event/Event.tsx:70:7,16.701
mutate,237.690,1.932,123,../../packages/features/ee/organizations/components/OrgUpgradeBanner.tsx:38:16,12.890
"Identifier: ""p""",233.127,77.709,3,../../packages/ui/components/app-list-card/AppListCard.tsx:43:24,226.383
Identifier: string,232.641,0.819,284,../../packages/features/eventtypes/components/tabs/availability/EventAvailabilityTab.tsx:150:7,14.133
register,227.475,3.669,62,../../packages/features/settings/ThemeLabel.tsx:18:7,21.284
anonymous,223.051,1.729,129,../../packages/features/form-builder/Components.tsx:494:21,25.531
preventDefault,218.367,5.199,42,../../packages/ui/components/form/inputs/Form.tsx:18:11,52.410
parse,213.867,1.633,131,../../packages/core/getUserAvailability.ts:271:29,20.729
useMutation,201.981,1.278,158,../../packages/features/bookings/Booker/components/hooks/useBookings.ts:182:15,10.472
Identifier: ForwardRefExoticComponent,183.986,91.993,2,../../packages/features/embed/Embed.tsx:1416:11,183.871
useMemo,180.805,1.944,93,../../packages/features/insights/hooks/useInsightsColumns.tsx:40:11,18.438
push,175.412,1.512,116,../../packages/trpc/server/routers/viewer/eventTypes/getEventTypesFromGroup.handler.ts:142:17,20.895
delete,174.840,2.081,84,../../packages/features/webhooks/lib/handleWebhookScheduledTriggers.ts:79:10,8.729
handler,173.971,1.722,101,../../packages/trpc/server/routers/viewer/organizations/_router.tsx:155:11,9.010
cx,173.414,14.451,12,../../packages/ui/components/form/select/Select.tsx:59:17,78.358
Identifier: MemoExoticComponent<({ sc,166.765,166.765,1,../../packages/features/eventtypes/components/tabs/availability/EventAvailabilityTab.tsx:389:28,166.765
Identifier: ZodObject<{ apiKey: ZodSt,165.899,165.899,1,../../node_modules/@replexica/sdk/build/index.d.ts:46:47,165.899
Identifier: StateManagedSelect,164.824,54.941,3,../../packages/ui/form/Select.tsx:30:11,141.096
Identifier: { className?: string | un,164.801,164.801,1,../../packages/features/ee/common/components/LicenseRequired.tsx:34:15,164.801
use,162.796,4.070,40,../../packages/trpc/server/procedures/publicProcedure.ts:5:24,36.381
zodResolver,158.709,17.634,9,../../packages/features/apps/AdminAppsList.tsx:197:14,111.608
language,157.625,2.463,64,../../packages/emails/src/templates/ForgotPasswordEmail.tsx:20:7,11.329
findFirstOrThrow,137.803,2.418,57,../../packages/app-store/wipemycalother/lib/reschedule.ts:22:19,18.853
handlerGetter,136.352,27.270,5,../../packages/features/ee/billing/api/webhook/__handler.ts:58:25,134.522
useUtils,131.905,4.255,31,modules/settings/my-account/profile-view.tsx:92:20,12.993
merge,128.389,3.210,40,../../packages/features/bookings/lib/getBookingDataSchemaForApi.ts:19:9,17.790
defineExtension,126.441,4.215,30,../../packages/prisma/extensions/disallow-undefined-delete-update-many.ts:30:18,26.611
debug,125.732,4.191,30,../../packages/features/auth/lib/next-auth-options.ts:718:7,28.998
useFieldArray,116.963,19.494,6,../../packages/app-store/routing-forms/pages/form-edit/[...appPages].tsx:380:6,87.017
useCallback,111.710,4.297,26,../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:98:26,61.214
split,109.808,4.575,24,../../packages/features/calendars/DestinationCalendarSelector.tsx:134:7,32.469
forEach,108.814,1.978,55,../../packages/lib/CalendarService.ts:391:23,15.133
includes,104.814,1.638,64,../../packages/trpc/server/routers/viewer/eventTypes/getEventTypesFromGroup.handler.ts:27:38,12.535
updateMany,104.700,2.493,42,../../packages/features/tasker/tasks/triggerNoShow/triggerGuestNoShow.ts:17:10,12.743
FirstBinaryOperator: any,97.173,2.699,36,../../packages/features/shell/user-dropdown/UserDropdown.tsx:157:19,14.386
onChange,95.646,4.159,23,../../packages/app-store/routing-forms/pages/form-edit/[...appPages].tsx:236:25,30.098
get,94.183,1.884,50,playwright/lib/testUtils.ts:215:21,17.897
accessor,91.213,3.801,24,../../packages/features/insights/hooks/useInsightsColumns.tsx:40:13,22.002
reduce,89.060,0.979,91,../../packages/trpc/server/routers/loggedInViewer/bookingUnconfirmedCount.handler.ts:32:9,13.414
handleSeats,88.742,7.395,12,../../packages/features/bookings/lib/handleNewBooking.ts:1107:42,72.662
Identifier: boolean,88.626,0.715,124,../../packages/emails/src/components/Row.tsx:11:5,10.289
