Function Name,Self (ms),Duration (ms),Location
map,569.956,589.593,../../packages/trpc/server/routers/viewer/teams/updateInternalNotesPresets.handler.ts:58:23
map,470.778,593.486,../../packages/lib/server/queries/teams/index.ts:442:27
setValue,372.228,372.228,../../packages/features/ee/managed-event-types/hooks/useLockedFieldsManager.tsx:118:21
watch,350.663,350.663,../../packages/app-store/routing-forms/components/SingleForm.tsx:718:65
map,290.871,531.725,../../packages/features/bookings/Booker/components/OverlayCalendar/OverlayCalendarSettingsModal.tsx:108:33
setValue,288.903,288.903,../../packages/features/eventtypes/components/tabs/limits/EventLimitsTab.tsx:915:52
"Identifier: ""span"" | TComponent",288.616,288.616,../../packages/ui/components/list/List.tsx:120:8
Identifier: <TComponent extends keyof,278.977,505.359,../../packages/ui/components/app-list-card/AppListCard.tsx:43:11
classNames,276.704,276.704,../../packages/ui/components/skeleton/Skeleton.tsx:96:20
"Identifier: ""span"" | TComponent",262.443,262.443,../../packages/ui/components/list/List.tsx:136:8
map,240.854,240.854,../../packages/features/bookings/Booker/components/OverlayCalendar/OverlayCalendarSettingsModal.tsx:108:47
useLocale,235.568,235.568,../../packages/ui/components/skeleton/Skeleton.tsx:37:17
mockResolvedValue,229.007,229.007,test/lib/checkBookingLimits.test.ts:25:46
"Identifier: ""p""",226.383,226.383,../../packages/ui/components/app-list-card/AppListCard.tsx:43:24
deleteMany,220.674,220.674,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:69:44
array,213.476,213.476,../../packages/app-store/eventTypeAppCardZod.ts:7:17
Identifier: any,204.826,204.826,../../packages/ui/components/avatar/Avatar.tsx:93:47
findMany,194.869,194.869,../../packages/lib/server/repository/team.ts:92:22
Identifier: ForwardRefExoticComponent,183.871,204.779,../../packages/features/embed/Embed.tsx:1416:11
Identifier: MemoExoticComponent<({ sc,166.765,166.765,../../packages/features/eventtypes/components/tabs/availability/EventAvailabilityTab.tsx:389:28
Identifier: ZodObject<{ apiKey: ZodSt,165.899,165.899,../../node_modules/@replexica/sdk/build/index.d.ts:46:47
Identifier: { className?: string | un,164.801,164.801,../../packages/features/ee/common/components/LicenseRequired.tsx:34:15
Identifier: (props: DetailedHTMLProps,162.055,162.055,../../packages/platform/atoms/availability/AvailabilitySettings.tsx:349:26
object,150.467,150.467,../../packages/app-store/alby/zod.ts:26:56
Identifier: StateManagedSelect,141.096,144.593,../../packages/ui/form/Select.tsx:30:11
extend,139.341,149.745,../../packages/prisma/zod/eventtype.ts:107:75
t,138.719,303.520,../../packages/features/ee/common/components/LicenseRequired.tsx:33:11
extend,136.371,136.371,../../packages/prisma/zod/user.ts:114:65
forwardRef,136.139,136.139,../../packages/app-store/routing-forms/components/FormActions.tsx:528:13
watch,135.990,486.653,../../packages/app-store/routing-forms/components/SingleForm.tsx:718:24
handlerGetter,134.522,140.890,../../packages/features/ee/billing/api/webhook/__handler.ts:58:25
object,131.114,131.114,../../packages/prisma/zod-utils.ts:73:42
getValues,126.561,126.561,../../packages/lib/hooks/useAppsData.ts:15:12
classNames,123.020,399.724,../../packages/ui/components/skeleton/Skeleton.tsx:96:9
create,117.131,203.916,../../packages/lib/server/repository/user.ts:596:23
zodResolver,111.608,111.608,../../packages/features/apps/AdminAppsList.tsx:197:14
toString,110.272,136.392,components/schemas/EventReservationSchema.tsx:54:24
classNames,104.897,150.527,../../packages/ui/components/skeleton/Skeleton.tsx:55:11
upsert,87.040,87.040,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:278:19
useFieldArray,87.017,87.017,../../packages/app-store/routing-forms/pages/form-edit/[...appPages].tsx:380:6
getValues,85.871,85.871,../../packages/features/ee/managed-event-types/hooks/useLockedFieldsManager.tsx:114:31
checkExistentEventTypes,84.968,314.322,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:199:38
extend,84.266,85.229,../../packages/prisma/zod/team.ts:78:65
createElement,83.154,128.813,../../packages/ui/components/list/List.tsx:122:9
monitorCallbackAsync,82.044,82.044,../../packages/trpc/server/routers/viewer/slots/util.ts:270:26
createElement,81.312,110.890,../../packages/ui/components/list/List.tsx:138:9
Identifier: any,80.626,80.626,../../packages/app-store/types.d.ts:67:41
Identifier: CSSObjectWithLabel,78.910,82.093,../../packages/ui/components/form/select/Select.tsx:63:17
cx,78.358,160.891,../../packages/ui/components/form/select/Select.tsx:59:17
findUniqueOrThrow,76.687,160.780,../../packages/trpc/server/routers/viewer/eventTypes/update.handler.ts:55:29
forwardRef,73.309,73.309,../../packages/app-store/routing-forms/components/FormActions.tsx:536:7
handleSeats,72.662,292.829,../../packages/features/bookings/lib/handleNewBooking.ts:1107:42
mockResolvedValue,71.939,71.939,test/utils/bookingScenario/bookingScenario.ts:1571:38
extend,71.249,160.476,../../packages/trpc/server/routers/viewer/eventTypes/types.ts:47:33
cx,70.844,239.029,../../packages/ui/components/form/select/Select.tsx:58:11
extend,69.925,69.925,../../packages/prisma/zod/booking.ts:77:71
update,67.719,67.719,../../packages/lib/server/repository/user.ts:565:13
findUniqueOrThrow,66.219,96.376,../../node_modules/@calcom/trpc/server/routers/viewer/eventTypes/update.handler.ts:55:29
findUnique,65.886,88.346,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:231:40
useCallback,61.214,70.130,../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:98:26
crmAppImportFn,57.804,162.826,../../packages/app-store/_utils/getCrm.ts:25:23
forwardRef,54.975,54.975,../../packages/app-store/routing-forms/components/FormActions.tsx:514:13
findFirst,54.829,54.829,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:105:26
all,54.708,114.872,../../packages/lib/event-types/getEventTypesByViewer.ts:53:56
findUnique,54.449,154.179,../../packages/trpc/server/routers/viewer/workflows/update.handler.ts:37:29
map,54.146,54.146,../../packages/ui/components/apps/AllApps.tsx:168:11
preventDefault,52.410,52.648,../../packages/ui/components/form/inputs/Form.tsx:18:11
