Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
map,3576.765,3.070,1165,../../../packages/trpc/server/routers/viewer/teams/updateInternalNotesPresets.handler.ts:58:23,530.402
object,1868.443,3.479,537,src/lib/throttler-guard.ts:19:24,168.859
extend,1656.759,12.182,136,../../../packages/prisma/zod/user.ts:114:65,186.477
findMany,1607.078,1.906,843,../../../packages/lib/server/repository/team.ts:92:22,172.101
update,1164.260,3.181,366,../../../packages/lib/server/repository/user.ts:565:13,40.200
findUnique,1001.055,2.547,393,../../../packages/trpc/server/routers/viewer/workflows/update.handler.ts:37:29,57.349
lazy,997.564,3.882,257,../../../packages/prisma/zod/user.ts:114:13,21.173
findFirst,988.355,2.013,491,../../../packages/features/credentials/handleDeleteCredential.ts:36:31,43.867
Identifier: any,867.527,5.044,172,../../../packages/ui/components/avatar/Avatar.tsx:93:47,159.439
monitorCallbackAsync,856.275,9.514,90,../../../packages/trpc/server/routers/viewer/slots/util.ts:270:26,452.440
create,853.968,2.475,345,../../../packages/lib/server/repository/user.ts:596:23,86.303
setValue,852.623,11.522,74,../../../packages/features/ee/managed-event-types/hooks/useLockedFieldsManager.tsx:118:21,386.945
classNames,778.421,5.332,146,../../../packages/ui/components/skeleton/Skeleton.tsx:96:20,229.308
t,769.976,2.070,372,../../../packages/features/ee/common/components/LicenseRequired.tsx:33:11,140.969
all,725.891,3.629,200,../../../packages/lib/event-types/getEventTypesByViewer.ts:53:56,61.845
router,658.674,5.028,131,../../../packages/trpc/server/routers/loggedInViewer/_router.tsx:75:44,50.307
input,437.650,0.977,448,../../../packages/trpc/server/routers/viewer/availability/schedule/_router.tsx:128:27,9.881
union,434.587,3.746,116,../../../packages/lib/event-types/transformers/internal/locations.ts:47:8,71.117
findUniqueOrThrow,426.449,3.708,115,../../../packages/trpc/server/routers/viewer/eventTypes/update.handler.ts:55:29,58.885
upsert,405.337,4.454,91,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:278:19,81.386
createElement,335.606,9.070,37,../../../packages/ui/components/list/List.tsx:122:9,64.163
getValues,330.561,7.346,45,../../../packages/features/ee/managed-event-types/hooks/useLockedFieldsManager.tsx:114:31,129.638
array,299.209,2.625,114,../../../packages/lib/event-types/transformers/internal-to-api/booking-fields.ts:327:11,12.778
