Function Name,Self (ms),Duration (ms),Location
map,530.402,548.922,../../../packages/trpc/server/routers/viewer/teams/updateInternalNotesPresets.handler.ts:58:23
monitorCallbackAsync,452.440,452.440,../../../packages/trpc/server/routers/viewer/slots/util.ts:270:26
map,398.835,514.531,../../../packages/lib/server/queries/teams/index.ts:442:27
setValue,386.945,386.945,../../../packages/features/ee/managed-event-types/hooks/useLockedFieldsManager.tsx:118:21
map,314.902,622.277,../../../packages/features/bookings/Booker/components/OverlayCalendar/OverlayCalendarSettingsModal.tsx:108:33
map,307.375,307.375,../../../packages/features/bookings/Booker/components/OverlayCalendar/OverlayCalendarSettingsModal.tsx:108:47
"Identifier: ""span"" | TComponent",287.113,287.113,../../../packages/ui/components/list/List.tsx:120:8
Identifier: <TComponent extends keyof,247.512,480.331,../../../packages/ui/components/app-list-card/AppListCard.tsx:43:11
"Identifier: ""p""",232.818,232.818,../../../packages/ui/components/app-list-card/AppListCard.tsx:43:24
setValue,230.514,230.514,../../../packages/features/eventtypes/components/tabs/limits/EventLimitsTab.tsx:915:52
classNames,229.308,229.308,../../../packages/ui/components/skeleton/Skeleton.tsx:96:20
deleteMany,214.036,214.036,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:69:44
Identifier: (props: DetailedHTMLProps,213.224,213.224,../../../packages/platform/atoms/availability/AvailabilitySettings.tsx:349:26
"Identifier: ""span"" | TComponent",186.797,186.797,../../../packages/ui/components/list/List.tsx:136:8
extend,186.477,186.477,../../../packages/prisma/zod/user.ts:114:65
findMany,172.101,172.101,../../../packages/lib/server/repository/team.ts:92:22
useLocale,169.125,169.125,../../../packages/ui/components/skeleton/Skeleton.tsx:37:17
object,168.859,168.859,src/lib/throttler-guard.ts:19:24
monitorCallbackAsync,167.502,238.833,../../../packages/trpc/server/routers/viewer/slots/util.ts:341:69
Identifier: { className?: string | un,166.856,167.575,../../../packages/features/ee/common/components/LicenseRequired.tsx:34:15
Identifier: any,159.439,159.439,../../../packages/ui/components/avatar/Avatar.tsx:93:47
t,140.969,309.276,../../../packages/features/ee/common/components/LicenseRequired.tsx:33:11
object,133.428,133.428,../../../packages/prisma/zod-utils.ts:73:42
getValues,129.638,129.638,../../../packages/features/ee/managed-event-types/hooks/useLockedFieldsManager.tsx:114:31
Identifier: typeof PrismaClient,116.777,116.777,src/modules/prisma/prisma-read.service.ts:15:18
getValues,108.974,108.974,../../../packages/lib/hooks/useAppsData.ts:15:12
extend,106.887,118.948,../../../packages/prisma/zod/eventtype.ts:107:75
Identifier: ForwardRefExoticComponent,105.652,119.433,../../../packages/features/embed/Embed.tsx:1416:11
Identifier: StateManagedSelect,102.895,103.099,../../../packages/ui/form/Select.tsx:30:11
Identifier: MemoExoticComponent<({ sc,94.958,94.958,../../../packages/features/eventtypes/components/tabs/availability/EventAvailabilityTab.tsx:389:28
object,94.469,94.469,../../../packages/platform/types/schedules/schedules-2024-04-15/schedules.ts:21:49
extend,92.853,213.550,../../../packages/trpc/server/routers/viewer/eventTypes/types.ts:47:33
Identifier: ZodObject<{ apiKey: ZodSt,90.794,90.794,../../../node_modules/@replexica/sdk/build/index.d.ts:46:47
create,86.303,140.042,../../../packages/lib/server/repository/user.ts:596:23
upsert,81.386,81.386,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:278:19
checkExistentEventTypes,79.770,298.333,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:199:38
classNames,74.089,102.132,../../../packages/ui/components/skeleton/Skeleton.tsx:55:11
extend,72.392,72.392,../../../packages/prisma/zod/team.ts:78:65
union,71.117,71.117,../../../packages/lib/event-types/transformers/internal/locations.ts:47:8
handleSeats,69.992,317.559,../../../packages/features/bookings/lib/handleNewBooking.ts:1107:42
createElement,64.163,102.119,../../../packages/ui/components/list/List.tsx:122:9
classNames,63.478,292.786,../../../packages/ui/components/skeleton/Skeleton.tsx:96:9
Identifier: CSSObjectWithLabel,62.703,62.703,../../../packages/ui/components/form/select/Select.tsx:63:17
all,61.845,111.243,../../../packages/lib/event-types/getEventTypesByViewer.ts:53:56
cx,61.360,124.381,../../../packages/ui/components/form/select/Select.tsx:59:17
findUniqueOrThrow,58.885,149.144,../../../packages/trpc/server/routers/viewer/eventTypes/update.handler.ts:55:29
extend,57.700,59.351,../../../packages/prisma/zod/booking.ts:77:71
findUnique,57.349,160.797,../../../packages/trpc/server/routers/viewer/workflows/update.handler.ts:37:29
cx,57.254,186.221,../../../packages/ui/components/form/select/Select.tsx:58:11
list,56.734,121.743,../../../packages/trpc/server/routers/loggedInViewer/updateProfile.handler.ts:38:36
findUniqueOrThrow,54.670,69.326,../../../node_modules/@calcom/trpc/server/routers/viewer/eventTypes/update.handler.ts:55:29
findUnique,53.728,73.974,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:231:40
monitorCallbackAsync,52.368,52.368,../../../packages/trpc/server/routers/viewer/slots/util.ts:347:25
Identifier: any,51.434,51.434,../../../packages/app-store/types.d.ts:67:41
router,50.307,492.550,../../../packages/trpc/server/routers/loggedInViewer/_router.tsx:75:44
t,49.576,270.293,../../../packages/platform/atoms/availability/AvailabilitySettings.tsx:349:17
