Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
handleSubmit,917.563,101.951,9,src/components/formViewer/DynamicAnswerInput/textInput.tsx:53:11,885.504
forwardRef,643.982,5.193,124,../../packages/ui/src/components/ui/accordion.tsx:52:5,97.037
input,306.000,3.290,93,../../packages/api/src/router/conversation.ts:18:10,28.377
Identifier: any,189.548,2.962,64,src/app/global-error.tsx:13:11,17.047
pick,149.638,7.876,19,src/app/api/form/[formId]/conversation/route.ts:35:10,68.606
createTRPCRouter,143.629,6.245,23,../../packages/api/src/router/form.ts:24:44,26.097
useMutation,143.399,4.218,34,src/app/(protectedPage)/forms/[formId]/_components/formEditor/formEditorCard.tsx:85:21,26.303
Identifier: <TFieldValues extends Fie,135.171,135.171,1,../../packages/ui/src/components/ui/form.tsx:39:7,135.171
Identifier: number,126.361,18.052,7,src/components/formViewer/DynamicAnswerInput/multiChoiceInput.tsx:14:11,119.398
map,121.227,1.638,74,src/components/formViewer/DynamicAnswerInput/multiChoiceInput.tsx:31:59,10.448
createInsertSchema,111.740,10.158,11,../../packages/db/src/schema/formFields/validation.ts:54:37,49.167
object,101.793,2.994,34,../../packages/db/src/schema/formFields/validation.ts:10:37,19.342
cn,88.790,4.673,19,../../packages/ui/src/components/ui/skeleton.tsx:7:11,20.787
findMany,84.310,5.621,15,../../packages/api/src/router/conversation.ts:28:39,21.787
omit,73.506,5.654,13,../../packages/api/src/router/form.ts:283:12,23.106
one,72.164,14.433,5,../../packages/db/src/schema/formFields/formField.ts:25:13,53.833
mutation,67.531,1.688,40,../../packages/api/src/router/formField.ts:18:15,10.067
querySelector,56.430,18.810,3,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/index.tsx:153:29,56.237
query,53.323,1.159,46,../../packages/api/src/router/form.ts:214:13,7.164
init,51.910,12.978,4,sentry.client.config.ts:7:13,28.762
pgTable,44.586,5.573,8,../../packages/db/src/schema/forms/form.ts:9:36,16.888
useForm,43.968,2.931,15,src/components/formViewer/DynamicAnswerInput/textInput.tsx:36:19,18.861
useQuery,41.716,2.781,15,src/components/formViewer/formDesignContext.tsx:39:64,9.227
extend,36.615,2.288,16,../../packages/db/src/schema/forms/validation.ts:26:32,8.866
promise,32.875,6.575,5,src/app/api/form/[formId]/conversations/route.ts:15:10,14.405
"Identifier: (<Props, TagName extends ",29.936,2.994,10,src/components/common/typingEffect.tsx:53:11,5.827
preventDefault,27.420,2.285,12,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:122:11,5.378
relations,27.293,1.820,15,../../packages/db/src/schema/formDesigns/formDesigns.ts:29:36,12.260
accessor,26.407,26.407,1,src/components/queryComponents/table/table.tsx:41:11,26.407
text,25.546,2.555,10,../../packages/db/src/schema/forms/form.ts:18:15,10.275
many,25.112,12.556,2,../../packages/db/src/schema/forms/form.ts:53:17,24.911
toString,23.852,3.975,6,src/components/conversationsStats.tsx:19:11,15.338
createSelectSchema,22.836,3.262,7,../../packages/db/src/schema/formFields/validation.ts:60:37,13.210
literal,22.610,7.537,3,../../packages/db/src/schema/formFields/validation.ts:37:15,12.119
Identifier: string,22.550,1.253,18,src/components/common/confirmAction.tsx:32:9,6.291
insert,21.345,1.334,16,../../packages/api/src/router/form.ts:85:36,7.418
clerkMiddleware,15.615,3.904,4,src/middleware.ts:16:32,9.551
