Function Name,Self (ms),Duration (ms),Location
handleSubmit,885.504,885.504,src/components/formViewer/DynamicAnswerInput/textInput.tsx:53:11
Identifier: <TFieldValues extends Fie,135.171,135.171,../../packages/ui/src/components/ui/form.tsx:39:7
Identifier: number,119.398,119.398,src/components/formViewer/DynamicAnswerInput/multiChoiceInput.tsx:14:11
forwardRef,97.037,97.037,../../packages/ui/src/components/ui/accordion.tsx:52:5
forwardRef,93.256,93.256,../../packages/ui/src/components/ui/input.tsx:10:13
pick,68.606,68.606,src/app/api/form/[formId]/conversation/route.ts:35:10
querySelector,56.237,56.237,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/index.tsx:153:29
one,53.833,53.833,../../packages/db/src/schema/formFields/formField.ts:25:13
createInsertSchema,49.167,111.615,../../packages/db/src/schema/formFields/validation.ts:54:37
forwardRef,36.361,38.542,../../packages/ui/src/components/ui/accordion.tsx:11:22
forwardRef,31.287,31.287,../../packages/ui/src/components/ui/button.tsx:45:13
init,28.762,41.617,sentry.client.config.ts:7:13
input,28.377,78.681,../../packages/api/src/router/conversation.ts:18:10
input,26.731,49.837,../../packages/api/src/router/form.ts:282:14
accessor,26.407,26.407,src/components/queryComponents/table/table.tsx:41:11
useMutation,26.303,26.303,src/app/(protectedPage)/forms/[formId]/_components/formEditor/formEditorCard.tsx:85:21
createTRPCRouter,26.097,93.909,../../packages/api/src/router/form.ts:24:44
many,24.911,48.351,../../packages/db/src/schema/forms/form.ts:53:17
omit,23.106,23.106,../../packages/api/src/router/form.ts:283:12
createInsertSchema,22.139,22.139,../../packages/db/src/schema/conversations/validation.ts:31:40
input,21.814,21.814,../../packages/api/src/router/form.ts:26:10
findMany,21.787,21.787,../../packages/api/src/router/conversation.ts:28:39
createTRPCRouter,21.671,112.888,../../packages/api/src/router/form.ts:24:44
cn,20.787,20.787,../../packages/ui/src/components/ui/skeleton.tsx:7:11
useMutation,20.578,20.578,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/createFormButton.tsx:56:21
object,19.342,19.342,../../packages/db/src/schema/formFields/validation.ts:10:37
object,18.892,33.786,../../packages/db/src/schema/formFields/validation.ts:35:50
useForm,18.861,19.993,src/components/formViewer/DynamicAnswerInput/textInput.tsx:36:19
useMutation,18.250,18.250,src/app/(protectedPage)/forms/[formId]/_components/changeNameInput.tsx:22:21
forwardRef,17.200,17.200,../../packages/ui/src/components/headingInput.tsx:9:13
Identifier: any,17.047,17.047,src/app/global-error.tsx:13:11
pgTable,16.888,39.945,../../packages/db/src/schema/forms/form.ts:9:36
input,16.783,16.783,../../packages/api/src/router/conversation.ts:225:20
one,16.180,16.180,../../packages/db/src/schema/forms/form.ts:48:13
omit,15.477,15.526,src/app/(protectedPage)/forms/[formId]/_components/formEditor/customizeEndScreenCard.tsx:38:23
forwardRef,15.449,15.449,../../packages/ui/src/components/ui/accordion.tsx:14:38
findMany,15.429,15.429,../../packages/api/src/router/conversation.ts:273:43
toString,15.338,15.338,src/components/conversationsStats.tsx:19:11
forwardRef,15.311,15.311,../../packages/ui/src/components/ui/dropdown-menu.tsx:43:31
useReactTable,15.211,15.211,src/app/(protectedPage)/forms/[formId]/conversations/_components/data-table/conversations-data-table.tsx:160:16
findMany,15.196,21.535,../../packages/api/src/router/conversation.ts:28:39
useMutation,15.148,16.959,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:68:26
input,15.144,15.144,../../packages/api/src/router/formField.ts:132:19
setValue,14.608,14.608,src/app/(protectedPage)/forms/[formId]/_components/formEditor/customizeEndScreenCard.tsx:99:39
input,14.598,14.598,../../packages/api/src/router/conversation.ts:242:26
promise,14.405,14.405,src/app/api/form/[formId]/conversations/route.ts:15:10
input,14.254,14.254,../../packages/api/src/router/form.ts:249:9
useForm,13.919,13.919,src/app/(protectedPage)/forms/[formId]/_components/formEditor/formEditorCard.tsx:105:19
anonymous,13.736,13.736,src/instrumentation.ts:2:47
forwardRef,13.736,13.736,../../packages/ui/src/components/ui/avatar.tsx:23:20
mutate,13.429,13.429,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:63:40
createTRPCRouter,13.276,13.276,../../packages/api/src/router/root.ts:17:25
createSelectSchema,13.210,13.210,../../packages/db/src/schema/formFields/validation.ts:60:37
omit,13.169,13.169,../../packages/db/src/schema/forms/validation.ts:20:29
forwardRef,13.104,13.104,../../packages/ui/src/components/ui/avatar.tsx:8:15
promise,12.815,12.815,src/app/api/form/[formId]/route.ts:7:10
createTRPCRouter,12.561,192.134,../../packages/api/src/router/conversation.ts:17:52
createRouteMatcher,12.354,20.072,src/middleware.ts:3:22
pick,12.340,12.340,src/app/api/form/[formId]/conversation/route.ts:27:29
relations,12.260,14.781,../../packages/db/src/schema/formDesigns/formDesigns.ts:29:36
cn,12.142,12.142,../../packages/ui/src/components/ui/badge.tsx:39:11
literal,12.119,14.214,../../packages/db/src/schema/formFields/validation.ts:37:15
input,11.865,22.384,../../packages/api/src/router/conversation.ts:208:23
toDateString,11.253,11.253,src/components/formViewer/DynamicAnswerInput/datePicker.tsx:64:7
forwardRef,11.159,11.159,../../packages/ui/src/components/ui/accordion.tsx:23:25
init,11.117,55.727,sentry.client.config.ts:5:42
cn,11.043,19.211,../../packages/ui/src/components/ui/calendar.tsx:19:11
handleSubmit,10.977,10.977,src/components/formViewer/DynamicAnswerInput/textInput.tsx:55:7
input,10.854,10.854,../../packages/api/src/router/formField.ts:77:18
findMany,10.658,11.125,../../packages/api/src/router/conversation.ts:187:55
cn,10.619,10.619,src/components/common/linkN.tsx:101:7
forwardRef,10.541,10.541,../../packages/ui/src/components/ui/accordion.tsx:43:25
createTRPCRouter,10.536,26.837,../../packages/api/src/router/workspace.ts:13:49
pick,10.518,10.518,../../packages/api/src/router/conversation.ts:209:12
