Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
input,234.462,3.006,78,src/router/conversation.ts:18:10,27.412
createTRPCRouter,168.840,7.675,22,src/router/form.ts:24:44,22.639
createInsertSchema,155.587,12.966,12,../db/src/schema/formFields/validation.ts:54:37,51.800
findMany,82.553,4.128,20,src/router/conversation.ts:28:39,17.254
extend,77.263,4.829,16,../db/src/schema/forms/validation.ts:43:40,20.398
text,67.768,3.567,19,../db/src/schema/base.ts:7:6,24.069
one,67.286,22.429,3,../db/src/schema/formFields/formField.ts:25:13,50.830
omit,66.212,6.621,10,src/router/form.ts:283:12,19.777
query,66.071,1.611,41,src/router/conversation.ts:154:13,13.544
object,63.113,5.259,12,../db/src/schema/formFields/validation.ts:35:50,22.895
mutation,61.958,1.630,38,src/router/formField.ts:18:15,10.926
pick,51.227,6.403,8,../db/src/schema/conversations/validation.ts:72:40,15.444
pgTable,49.853,4.154,12,../db/src/schema/forms/form.ts:9:36,12.351
partial,37.992,6.332,6,../db/src/schema/forms/validation.ts:31:31,20.513
relations,36.149,2.126,17,../db/src/schema/formDesigns/formDesigns.ts:29:36,18.027
createSelectSchema,30.213,3.777,8,../db/src/schema/conversations/validation.ts:37:40,13.044
insert,28.121,2.343,12,src/router/conversation.ts:104:29,9.487
findFirst,25.016,2.780,9,src/router/conversation.ts:69:38,5.923
many,22.947,11.473,2,../db/src/schema/forms/form.ts:53:17,22.679
timestamp,21.461,4.292,5,../db/src/schema/base.ts:11:13,19.239
union,16.847,5.616,3,../db/src/schema/formFields/validation.ts:35:49,9.756
literal,14.989,7.494,2,../db/src/schema/formFields/validation.ts:41:15,8.436
use,11.498,2.300,5,src/procedures/orgProtectedProcedure.ts:4:37,5.454
values,10.489,1.748,6,src/router/conversation.ts:106:17,4.659
enum,9.986,9.986,1,../db/src/schema/conversations/validation.ts:24:8,9.986
drizzle,9.946,3.315,3,../db/src/db.ts:3:27,5.993
unique,8.929,2.232,4,../db/src/schema/base.ts:6:13,5.069
map,7.304,0.562,13,src/router/conversation.ts:295:29,3.179
update,6.369,1.592,4,src/router/conversation.ts:211:29,2.914
fixedWindow,5.831,0.972,6,../rate-limiter/src/rateLimit.ts:32:14,4.019
create,5.273,0.659,8,src/trpc.ts:42:18,1.668
"Identifier: { inputType: ""text""; inpu",5.198,5.198,1,../db/src/schema/formFields/utils.ts:4:33,5.198
default,4.394,4.394,1,../db/src/schema/forms/form.ts:41:14,4.394
Identifier: ZodObject<extendShape<Pic,3.989,3.989,1,../db/src/schema/conversations/validation.ts:13:43,3.989
context,3.771,3.771,1,src/trpc.ts:40:17,3.771
references,2.622,0.291,9,../db/src/schema/forms/form.ts:20:22,0.956
boolean,2.424,0.346,7,../db/src/schema/forms/form.ts:16:15,0.858
Identifier: InputTypeMap,2.227,2.227,1,../db/src/schema/formFields/constants.ts:17:13,2.227
array,2.007,0.334,6,../db/src/schema/conversations/validation.ts:31:13,0.516
find,1.911,0.955,2,src/router/form.ts:207:18,1.833
Identifier: Pick<{ id: string; name: ,1.710,0.855,2,../db/src/schema/forms/utils.ts:18:11,1.534
and,1.662,1.662,1,src/router/conversation.ts:29:46,1.662
jsonb,1.617,0.404,4,../db/src/schema/conversations/conversation.ts:11:14,0.713
filter,1.545,0.515,3,src/router/conversation.ts:347:28,1.452
Identifier: string,1.201,0.400,3,../common/src/config/bmp/pricing.ts:16:12,0.901
track,0.772,0.193,4,src/router/workspace.ts:32:8,0.317
eq,0.751,0.751,1,src/router/conversation.ts:31:51,0.751
min,0.691,0.346,2,../db/src/schema/formFields/validation.ts:54:13,0.472
entries,0.623,0.311,2,src/router/metrics.ts:51:33,0.550
notNull,0.541,0.271,2,../db/src/schema/users/user.ts:7:13,0.291
checkRateLimitThrowTRPCError,0.410,0.102,4,src/router/formDesign.ts:19:12,0.278
Identifier: Plan,0.280,0.280,1,../common/src/config/bmp/pricing.ts:13:13,0.280
anonymous,0.271,0.271,1,../analytics/src/providers/posthogAnalyticsProvider.ts:10:18,0.271
"Identifier: { inputType: ""datePicker""",0.216,0.216,1,../db/src/schema/formFields/utils.ts:20:20,0.216
Identifier: ZodObject<{ role: ZodEnum,0.180,0.180,1,../db/src/schema/conversations/validation.ts:29:40,0.180
Identifier: number,0.146,0.146,1,../rate-limiter/src/utils.ts:12:4,0.146
Identifier: Date | undefined,0.098,0.098,1,../db/src/schema/formFields/utils.ts:20:10,0.098
Identifier: typeof PgColumnBuilder,0.073,0.073,1,../../node_modules/.pnpm/drizzle-orm@0.38.4_@neondatabase+serverless@0.10.4/node_modules/drizzle-orm/pg-core/columns/boolean.d.ts:13:105,0.073
Identifier: ZodObject<{ placeholder: ,0.062,0.062,1,../db/src/schema/formFields/validation.ts:14:51,0.062
"Identifier: { invalid_type: ""invalid_",0.045,0.045,1,../../node_modules/.pnpm/zod@3.24.1/node_modules/zod/lib/ZodError.d.ts:59:17,0.045
delete,0.003,0.003,1,src/router/webhook.ts:88:29,0.003
