Function Name,Self (ms),Duration (ms),Location
createInsertSchema,51.800,112.734,../db/src/schema/formFields/validation.ts:54:37
one,50.830,50.830,../db/src/schema/formFields/formField.ts:25:13
createInsertSchema,40.005,43.829,../db/src/schema/conversations/validation.ts:31:40
input,27.412,70.511,src/router/conversation.ts:18:10
text,24.069,24.069,../db/src/schema/base.ts:7:6
object,22.895,29.734,../db/src/schema/formFields/validation.ts:35:50
many,22.679,51.650,../db/src/schema/forms/form.ts:53:17
createTRPCRouter,22.639,105.795,src/router/form.ts:24:44
input,21.931,21.931,src/router/form.ts:26:10
partial,20.513,20.513,../db/src/schema/forms/validation.ts:31:31
extend,20.398,20.398,../db/src/schema/forms/validation.ts:43:40
input,20.299,40.662,src/router/form.ts:282:14
createTRPCRouter,19.816,91.125,src/router/form.ts:24:44
omit,19.777,20.363,src/router/form.ts:283:12
extend,19.371,19.371,../db/src/schema/forms/validation.ts:26:32
timestamp,19.239,19.239,../db/src/schema/base.ts:11:13
relations,18.027,18.027,../db/src/schema/formDesigns/formDesigns.ts:29:36
createTRPCRouter,17.490,23.353,src/router/formDesign.ts:15:50
createTRPCRouter,17.295,62.112,src/router/conversation.ts:17:52
findMany,17.254,17.254,src/router/conversation.ts:28:39
createInsertSchema,16.794,16.794,../db/src/schema/organizations/organization.ts:14:40
object,15.960,15.960,../db/src/schema/formFields/validation.ts:10:37
pick,15.444,15.444,../db/src/schema/conversations/validation.ts:72:40
createInsertSchema,15.417,15.417,../db/src/schema/forms/validation.ts:7:32
omit,14.472,14.472,../db/src/schema/forms/validation.ts:20:29
input,14.148,14.148,src/router/form.ts:249:9
findMany,14.004,19.257,src/router/conversation.ts:28:39
createTRPCRouter,13.936,13.936,src/router/root.ts:17:25
query,13.544,13.544,src/router/conversation.ts:154:13
createSelectSchema,13.044,13.044,../db/src/schema/conversations/validation.ts:37:40
input,12.987,12.987,src/router/formField.ts:77:18
text,12.737,22.796,../db/src/schema/forms/form.ts:18:15
one,12.581,12.581,../db/src/schema/forms/form.ts:48:13
createInsertSchema,12.375,12.375,../db/src/schema/users/user.ts:16:32
pgTable,12.351,44.700,../db/src/schema/forms/form.ts:9:36
input,12.180,12.180,src/router/conversation.ts:208:23
createInsertSchema,11.948,11.948,../db/src/schema/organizationMembers/organizationMember.ts:15:46
input,11.946,16.962,src/router/formField.ts:132:19
createTRPCRouter,11.788,21.387,src/router/workspace.ts:13:49
findMany,11.464,11.464,src/router/conversation.ts:198:14
pick,11.168,11.168,src/router/formDesign.ts:54:12
mutation,10.926,12.419,src/router/formField.ts:18:15
input,10.161,10.161,src/router/conversation.ts:242:26
enum,9.986,9.986,../db/src/schema/conversations/validation.ts:24:8
text,9.955,46.591,../db/src/schema/base.ts:7:6
union,9.756,55.310,../db/src/schema/formFields/validation.ts:35:49
input,9.684,9.684,src/router/workspace.ts:88:9
createTRPCRouter,9.549,9.549,src/router/organization.ts:8:34
insert,9.487,14.848,src/router/conversation.ts:104:29
createTRPCRouter,9.114,9.114,src/router/webhook.ts:16:47
omit,8.826,8.826,../db/src/schema/forms/validation.ts:20:29
createTRPCRouter,8.700,12.663,src/router/formField.ts:14:49
pick,8.676,13.475,../db/src/schema/conversations/validation.ts:72:40
literal,8.436,8.436,../db/src/schema/formFields/validation.ts:41:15
mutation,8.073,12.092,src/router/form.ts:33:15
