Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
Identifier: any,468.039,5.850,80,../../packages/emails/src/components/styled-components.tsx:174:7,99.364
t,356.473,3.301,108,../../packages/emails/src/templates/finalized-participant.tsx:100:10,76.605
forwardRef,347.327,3.656,95,../../packages/ui/src/button.tsx:65:13,30.140
map,267.125,2.226,120,src/app/[locale]/(admin)/events/event-list.tsx:38:21,18.037
Identifier: <Key extends ParseKeys<Ns,264.625,29.403,9,../../packages/emails/src/components/email-layout.tsx:56:17,213.008
createEnv,235.593,33.656,7,src/env.ts:4:19,198.413
sendTemplate,191.090,95.545,2,../../packages/emails/src/send-email.tsx:75:20,190.948
Identifier: string,86.066,2.690,32,../../packages/emails/src/components/styled-components.tsx:27:14,46.275
mutation,83.384,1.635,51,src/trpc/routers/polls.ts:521:15,21.100
format,79.652,8.850,9,src/components/forms/poll-options-form/dayjs-localizer.ts:317:9,35.451
Identifier: number,73.213,12.202,6,src/components/poll/mobile-poll.tsx:190:22,43.377
router,67.937,3.774,18,src/trpc/routers/polls.ts:44:29,13.745
input,63.772,1.594,40,src/trpc/routers/polls.ts:258:10,11.117
cn,63.668,3.351,19,src/app/[locale]/(admin)/app-card.tsx:12:11,11.099
PrismaAdapter,63.127,31.564,2,src/auth/adapters/prisma.ts:19:18,62.865
FirstBinaryOperator: any,62.846,3.928,16,../../packages/emails/src/templates/abandoned-checkout.tsx:64:15,18.252
create,56.624,3.146,18,src/auth/adapters/prisma.ts:24:13,20.875
query,51.324,1.833,28,src/trpc/routers/polls.ts:439:12,13.679
object,51.172,1.312,39,src/next-auth.ts:21:28,6.682
useMutation,48.993,1.633,30,src/components/discussion/discussion.tsx:86:21,14.524
"Identifier: ""app""",44.000,44.000,1,src/components/trans.tsx:14:20,44.000
middleware,43.486,7.248,6,src/trpc/trpc.ts:27:56,38.329
use,39.353,2.186,18,src/trpc/trpc.ts:27:39,11.231
getCoreRowModel,37.246,37.246,1,src/app/[locale]/(admin)/events/event-list.tsx:16:21,37.246
reset,36.345,6.058,6,src/components/settings/date-time-preferences.tsx:44:11,21.387
enum,35.750,4.469,8,src/trpc/routers/polls/participants.ts:135:18,9.388
useTranslation,35.048,11.683,3,src/components/trans.tsx:13:16,34.108
handleSubmit,33.173,2.764,12,src/components/settings/language-preference.tsx:32:7,10.076
Identifier: FC<Readonly<HeadingProps>,31.451,15.725,2,../../packages/emails/src/components/styled-components.tsx:90:11,20.467
test,29.849,2.714,11,tests/house-keeping.spec.ts:55:87,17.537
fromNow,28.606,7.152,4,src/components/event-card.tsx:49:17,8.436
$transaction,27.067,1.933,14,src/trpc/routers/polls.ts:779:12,10.001
Identifier: (<Props extends {}>(Compo,26.553,4.425,6,src/components/pay-wall-dialog.tsx:38:14,11.041
setValue,26.532,3.790,7,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:226:33,14.134
some,25.685,5.137,5,src/next-auth.config.ts:17:30,12.146
mutateAsync,24.521,2.229,11,src/components/new-participant-modal.tsx:112:11,5.953
update,23.337,1.945,12,src/trpc/routers/polls.ts:337:12,6.120
Identifier: Readonly<HeadingProps>,21.922,10.961,2,../../packages/emails/src/components/styled-components.tsx:91:21,13.429
NextAuth,21.846,1.986,11,src/next-auth.ts:33:14,8.461
get,21.737,4.347,5,src/app/api/notifications/unsubscribe/route.ts:10:19,11.198
capture,21.418,2.380,9,src/app/[locale]/(admin)/sidebar.tsx:106:11,4.511
useState,20.474,4.095,5,src/components/forms/poll-options-form/poll-options-form.tsx:40:24,12.906
watch,18.684,3.737,5,src/components/poll/voting-form.tsx:154:45,15.281
Identifier: FC<Readonly<Omit<Detailed,17.533,17.533,1,../../packages/emails/src/components/styled-components.tsx:24:11,17.533
safeParse,15.940,15.940,1,src/app/[locale]/(admin)/settings/profile/profile-picture.tsx:24:27,15.940
Identifier: boolean,15.753,3.151,5,playwright.config.ts:36:12,11.113
toISOString,15.419,1.101,14,src/components/poll/scheduled-event.tsx:25:11,7.121
findUnique,15.099,0.888,17,src/trpc/routers/user.ts:30:19,2.894
init,15.003,7.502,2,sentry.client.config.ts:9:13,11.526
"Identifier: (props: { i18nKey: ""menu""",14.820,1.059,14,src/app/[locale]/(admin)/dashboard.tsx:35:13,4.175
startsWith,14.494,2.416,6,src/app/[locale]/(admin)/sidebar.tsx:68:9,5.343
Identifier: typeof Calendar,14.072,14.072,1,src/components/forms/poll-options-form/week-calendar.tsx:25:24,14.072
updateMany,13.868,1.261,11,src/auth/helpers/merge-user.ts:11:26,4.291
getSignedUrl,13.824,13.824,1,src/trpc/routers/user.ts:196:24,13.824
Identifier: Process,13.012,3.253,4,playwright.config.ts:5:11,6.766
CredentialsProvider,12.864,2.144,6,src/auth/providers/registration-token.ts:9:62,6.051
findMany,12.822,1.832,7,src/trpc/routers/scheduled-events.ts:22:27,10.330
toggleSorting,11.935,11.935,1,src/components/table/table-column-header.tsx:21:11,11.935
createTransport,11.817,2.954,4,../../packages/emails/src/send-email.tsx:164:15,8.883
Identifier: ForwardRefExoticComponent,11.267,2.253,5,src/app/[locale]/(admin)/settings/profile/profile-page.tsx:66:11,8.015
"Identifier: ""Africa/Abidjan"" | ""Afric",11.251,11.251,1,src/utils/date-time-utils.ts:77:9,11.251
groupBy,11.169,5.585,2,src/trpc/routers/polls.ts:48:43,8.724
useQuery,10.528,2.106,5,src/components/poll/notifications-toggle.tsx:17:53,4.859
NodemailerProvider,10.471,2.618,4,src/auth/providers/email.ts:16:17,6.323
toUpperCase,10.464,5.232,2,src/components/user.tsx:20:11,8.630
Identifier: ForwardRefExoticComponent,10.027,2.507,4,src/app/[locale]/invite/[urlId]/nav.tsx:19:9,5.225
Identifier: S3Client,9.922,9.922,1,src/utils/s3.ts:25:9,9.922
cancel,9.819,4.910,2,src/components/poll/desktop-poll/participant-row-form.tsx:56:11,6.934
mutate,9.794,3.265,3,src/components/poll/manage-poll.tsx:69:13,4.868
useForm,9.628,1.203,8,src/components/settings/date-time-preferences.tsx:33:15,7.274
delete,9.327,3.109,3,tests/next-auth-migration.spec.ts:21:10,6.395
all,9.254,1.322,7,src/auth/helpers/merge-user.ts:11:25,3.880
toast,9.241,1.540,6,src/app/[locale]/(admin)/settings/profile/profile-picture.tsx:34:13,4.361
send,9.194,3.065,3,src/app/api/storage/[...key]/route.ts:20:25,8.622
Identifier: ReactNode,8.869,2.217,4,src/components/settings/settings.tsx:19:7,3.478
upsert,8.668,4.334,2,src/app/api/stripe/webhook/handlers/utils.ts:57:8,7.859
Identifier: typeof PrismaClient,8.639,8.639,1,../../packages/database/index.ts:6:9,8.639
string,8.381,2.095,4,src/components/new-participant-modal.tsx:30:9,8.159
Identifier: PlaywrightTestConfig,8.233,8.233,1,playwright.config.ts:14:6,8.233
toString,7.867,1.573,5,src/app/[locale]/(admin)/events/user-scheduled-events.tsx:18:11,3.341
Identifier: { email: string; name: st,7.822,2.607,3,src/app/api/stripe/checkout/route.ts:76:7,3.892
useEffect,7.768,1.110,7,src/app/[locale]/(admin)/settings/profile/profile-email-address.tsx:47:19,3.265
count,7.681,0.512,15,src/auth/helpers/is-email-blocked.ts:80:27,1.504
requiredString,7.274,2.425,3,src/components/participant-dropdown.tsx:248:13,3.704
useReactTable,7.095,2.365,3,src/app/[locale]/(admin)/events/event-list.tsx:13:16,6.633
useCallback,6.973,1.743,4,src/components/forms/poll-options-form/month-calendar/time-picker.tsx:28:40,3.842
Identifier: Omit<DetailedHTMLProps<Ta,6.883,3.441,2,../../packages/emails/src/components/styled-components.tsx:142:13,4.582
join,6.594,1.649,4,src/components/poll/manage-poll/use-csv-exporter.ts:15:17,6.257
ThisKeyword: this,6.571,6.571,1,../../packages/emails/src/send-email.tsx:194:11,6.571
Identifier: Devices,6.495,2.165,3,playwright.config.ts:17:38,4.614
getEmailClient,6.433,2.144,3,src/trpc/routers/polls.ts:740:47,3.073
createClient,6.348,6.348,1,src/trpc/client/provider.tsx:71:8,6.348
union,6.341,3.170,2,src/components/new-participant-modal.tsx:33:15,5.957
fetchRequestHandler,6.071,2.024,3,src/app/api/trpc/[trpc]/route.ts:17:9,5.757
getValues,5.864,2.932,2,src/components/forms/poll-options-form/poll-options-form.tsx:79:18,5.624
push,5.767,1.922,3,next.config.js:16:19,2.705
forEach,5.469,1.823,3,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:66:21,4.755
onChange,5.187,1.297,4,src/components/forms/poll-options-form/poll-options-form.tsx:226:17,2.411
Identifier: { prismaGlobal: PrismaCli,5.186,5.186,1,../../packages/database/index.ts:15:15,5.186
Identifier: FC<Readonly<Omit<Detailed,5.055,5.055,1,../../packages/emails/src/components/styled-components.tsx:119:11,5.055
hkdf,5.033,2.517,2,src/auth/legacy/helpers/jwt.ts:27:15,4.877
findUniqueOrThrow,5.010,5.010,1,src/trpc/routers/polls/participants.ts:296:15,5.010
createElement,4.924,1.231,4,src/components/add-to-calendar-button.tsx:115:20,1.824
Identifier: string | 3002,4.909,1.636,3,playwright.config.ts:11:16,3.746
