Function Name,Self (ms),Duration (ms),Location
Identifier: <Key extends ParseKeys<Ns,213.008,218.336,../../packages/emails/src/components/email-layout.tsx:56:17
createEnv,198.413,241.134,src/env.ts:4:19
sendTemplate,190.948,190.948,../../packages/emails/src/send-email.tsx:75:20
Identifier: any,99.364,99.364,../../packages/emails/src/components/styled-components.tsx:174:7
t,76.605,76.605,../../packages/emails/src/templates/finalized-participant.tsx:100:10
PrismaAdapter,62.865,62.865,src/auth/adapters/prisma.ts:19:18
Identifier: string,46.275,46.275,../../packages/emails/src/components/styled-components.tsx:27:14
Identifier: <Key extends ParseKeys<Ns,44.659,88.659,src/components/trans.tsx:14:9
"Identifier: ""app""",44.000,44.000,src/components/trans.tsx:14:20
Identifier: number,43.377,43.377,src/components/poll/mobile-poll.tsx:190:22
t,42.805,43.260,../../packages/emails/src/templates/abandoned-checkout.tsx:27:16
middleware,38.329,38.329,src/trpc/trpc.ts:27:56
getCoreRowModel,37.246,37.246,src/app/[locale]/(admin)/events/event-list.tsx:16:21
t,37.052,37.052,src/components/discussion/discussion.tsx:127:9
format,35.451,36.446,src/components/forms/poll-options-form/dayjs-localizer.ts:317:9
useTranslation,34.108,34.108,src/components/trans.tsx:13:16
forwardRef,30.140,30.140,../../packages/ui/src/button.tsx:65:13
reset,21.387,21.387,src/components/settings/date-time-preferences.tsx:44:11
mutation,21.100,35.344,src/trpc/routers/polls.ts:521:15
create,20.875,24.052,src/auth/adapters/prisma.ts:24:13
Identifier: FC<Readonly<HeadingProps>,20.467,33.896,../../packages/emails/src/components/styled-components.tsx:90:11
FirstBinaryOperator: any,18.252,18.252,../../packages/emails/src/templates/abandoned-checkout.tsx:64:15
map,18.037,18.037,src/app/[locale]/(admin)/events/event-list.tsx:38:21
test,17.537,19.463,tests/house-keeping.spec.ts:55:87
Identifier: FC<Readonly<Omit<Detailed,17.533,65.171,../../packages/emails/src/components/styled-components.tsx:24:11
safeParse,15.940,24.278,src/app/[locale]/(admin)/settings/profile/profile-picture.tsx:24:27
forwardRef,15.681,15.681,../../packages/ui/src/dropdown-menu.tsx:55:31
watch,15.281,15.281,src/components/poll/voting-form.tsx:154:45
Identifier: number,15.233,15.233,src/components/pay-wall-dialog.tsx:45:24
useMutation,14.524,14.524,src/components/discussion/discussion.tsx:86:21
Identifier: any,14.420,14.420,src/components/user-dropdown.tsx:55:11
setValue,14.134,14.134,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:226:33
Identifier: typeof Calendar,14.072,14.072,src/components/forms/poll-options-form/week-calendar.tsx:25:24
getSignedUrl,13.824,13.824,src/trpc/routers/user.ts:196:24
router,13.745,89.046,src/trpc/routers/polls.ts:44:29
query,13.679,13.679,src/trpc/routers/polls.ts:439:12
Identifier: Readonly<HeadingProps>,13.429,13.429,../../packages/emails/src/components/styled-components.tsx:91:21
Identifier: number,13.185,13.185,playwright.config.ts:19:14
createEnv,13.001,13.247,src/env.ts:94:14
useState,12.906,19.964,src/components/forms/poll-options-form/poll-options-form.tsx:40:24
Identifier: any,12.668,12.668,src/features/quick-create/quick-create-widget.tsx:98:11
forwardRef,12.548,12.548,../../packages/ui/src/dropdown-menu.tsx:122:7
some,12.146,12.146,src/next-auth.config.ts:17:30
format,12.129,12.129,src/components/poll/scheduled-event.tsx:46:11
Identifier: any,12.074,12.074,src/components/poll/you-avatar.tsx:5:11
toggleSorting,11.935,11.935,src/components/table/table-column-header.tsx:21:11
init,11.526,11.526,sentry.client.config.ts:9:13
createEnv,11.451,16.992,src/env.ts:9:10
map,11.263,11.263,src/features/quick-create/quick-create-widget.tsx:16:11
Identifier: any,11.254,11.254,src/features/quick-create/quick-create-widget.tsx:19:9
"Identifier: ""Africa/Abidjan"" | ""Afric",11.251,11.251,src/utils/date-time-utils.ts:77:9
use,11.231,49.560,src/trpc/trpc.ts:27:39
get,11.198,16.983,src/app/api/notifications/unsubscribe/route.ts:10:19
input,11.117,11.117,src/trpc/routers/polls.ts:258:10
Identifier: boolean,11.113,11.113,playwright.config.ts:36:12
cn,11.099,11.099,src/app/[locale]/(admin)/app-card.tsx:12:11
Identifier: (<Props extends {}>(Compo,11.041,11.041,src/components/pay-wall-dialog.tsx:38:14
Identifier: FC<Readonly<HeadingProps>,10.984,10.984,../../packages/emails/src/components/styled-components.tsx:86:37
format,10.882,10.882,src/components/poll/scheduled-event.tsx:16:11
t,10.837,10.837,src/components/event-card.tsx:50:19
forwardRef,10.766,10.766,../../packages/ui/src/toast.tsx:42:14
forwardRef,10.351,10.351,../../packages/ui/src/dialog.tsx:54:5
findMany,10.330,10.330,src/trpc/routers/scheduled-events.ts:22:27
forwardRef,10.328,10.328,../../packages/ui/src/toast.tsx:47:11
Identifier: string,10.281,50.961,playwright.config.ts:14:37
t,10.209,10.209,src/components/new-participant-modal.tsx:139:7
reset,10.146,10.146,src/components/settings/date-time-preferences.tsx:46:7
forwardRef,10.123,10.123,../../packages/ui/src/radio-group.tsx:23:23
handleSubmit,10.076,10.076,src/components/settings/language-preference.tsx:32:7
$transaction,10.001,10.001,src/trpc/routers/polls.ts:779:12
forwardRef,9.932,9.932,../../packages/ui/src/select.tsx:39:22
Identifier: S3Client,9.922,9.922,src/utils/s3.ts:25:9
create,9.864,10.865,src/trpc/routers/polls.ts:182:25
map,9.789,9.789,src/app/[locale]/(admin)/polls/user-polls.tsx:52:7
t,9.644,12.228,src/app/[locale]/(admin)/settings/billing/components/subscription-status.tsx:27:6
use,9.572,9.572,src/trpc/routers/polls/comments.ts:74:7
forwardRef,9.482,9.482,../../packages/ui/src/dropdown-menu.tsx:12:28
enum,9.388,9.388,src/trpc/routers/polls/participants.ts:135:18
map,9.380,9.380,src/components/participant-avatar-bar.tsx:17:11
get,9.370,9.634,src/app/api/stripe/portal/helpers/create-portal-session.ts:11:9
map,9.091,9.091,src/components/time-zone-picker/time-zone-select.tsx:39:7
forwardRef,8.894,8.894,../../packages/ui/src/input.tsx:40:13
createTransport,8.883,8.883,../../packages/emails/src/send-email.tsx:164:15
forwardRef,8.838,8.838,../../packages/ui/src/dropdown-menu.tsx:33:31
forwardRef,8.801,8.801,../../packages/ui/src/toast.tsx:11:22
forwardRef,8.766,8.766,../../packages/ui/src/dropdown-menu.tsx:58:38
t,8.758,15.696,src/components/discussion/discussion.tsx:114:9
groupBy,8.724,8.724,src/trpc/routers/polls.ts:48:43
Identifier: typeof PrismaClient,8.639,8.639,../../packages/database/index.ts:6:9
toUpperCase,8.630,8.630,src/components/user.tsx:20:11
send,8.622,8.622,src/app/api/storage/[...key]/route.ts:20:25
input,8.615,8.615,src/trpc/routers/polls.ts:133:10
Identifier: Readonly<HeadingProps>,8.493,19.476,../../packages/emails/src/components/styled-components.tsx:85:23
NextAuth,8.461,10.844,src/next-auth.ts:33:14
fromNow,8.436,8.436,src/components/event-card.tsx:49:17
query,8.435,10.376,src/trpc/routers/polls/comments.ts:24:12
Identifier: any,8.386,8.386,src/components/time-format-picker.tsx:20:9
format,8.286,11.491,src/components/forms/poll-options-form/week-calendar.tsx:100:21
Identifier: PlaywrightTestConfig,8.233,59.194,playwright.config.ts:14:6
string,8.159,8.159,src/components/new-participant-modal.tsx:30:9
forwardRef,8.107,8.107,../../packages/ui/src/avatar.tsx:70:11
t,8.101,8.101,../../packages/emails/src/templates/finalized-host.tsx:103:10
cn,8.031,8.031,src/components/table.tsx:156:11
Identifier: ForwardRefExoticComponent,8.015,8.015,src/app/[locale]/(admin)/settings/profile/profile-page.tsx:66:11
forwardRef,8.006,8.006,../../packages/ui/src/textarea.tsx:9:13
input,7.950,16.707,src/trpc/routers/polls.ts:133:10
Identifier: any,7.941,7.941,src/app/[locale]/invite/[urlId]/nav.tsx:18:7
Identifier: any,7.936,7.936,src/components/user-dropdown.tsx:63:11
Identifier: any,7.924,7.924,src/app/[locale]/(admin)/page.tsx:23:7
forwardRef,7.880,7.880,../../packages/ui/src/input.tsx:38:62
fromNow,7.874,7.874,src/components/event-card.tsx:44:13
upsert,7.859,7.859,src/app/api/stripe/webhook/handlers/utils.ts:57:8
Identifier: any,7.859,7.859,src/features/quick-create/quick-create-widget.tsx:97:9
Identifier: any,7.854,7.854,src/components/settings/settings.tsx:17:11
input,7.798,7.798,src/trpc/routers/user.ts:109:22
Identifier: any,7.796,7.796,src/components/empty-state.tsx:32:9
Identifier: any,7.785,7.785,src/components/poll/scheduled-event.tsx:95:17
enum,7.771,7.771,src/trpc/routers/polls/participants.ts:255:18
map,7.736,7.736,src/components/poll/scheduled-event.tsx:81:7
map,7.712,7.712,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:262:9
mutation,7.670,19.344,src/trpc/routers/polls/comments.ts:84:15
Identifier: any,7.637,7.637,src/app/[locale]/(admin)/settings/billing/page.tsx:211:33
Identifier: any,7.611,7.611,src/app/[locale]/invite/[urlId]/invite-page.tsx:26:7
Identifier: string,7.577,7.577,../../packages/emails/src/components/email-layout.tsx:37:11
mutation,7.542,7.542,src/trpc/routers/polls/comments.ts:128:22
$transaction,7.400,10.133,src/trpc/routers/polls/participants.ts:143:53
router,7.346,28.080,src/trpc/routers/user.ts:26:28
map,7.315,7.315,src/features/quick-create/quick-create-widget.tsx:18:7
Identifier: any,7.308,7.308,src/app/[locale]/invite/[urlId]/invite-page.tsx:27:9
FirstBinaryOperator: any,7.302,7.302,src/app/[locale]/(admin)/settings/billing/page.tsx:280:7
forwardRef,7.279,7.279,../../packages/ui/src/label.tsx:14:14
useForm,7.274,7.274,src/components/settings/date-time-preferences.tsx:33:15
handleSubmit,7.260,7.260,src/app/[locale]/poll/[urlId]/edit-options/page.tsx:88:7
forwardRef,7.246,7.246,../../packages/ui/src/dropdown-menu.tsx:71:28
cn,7.210,7.210,src/components/poll/vote-icon.tsx:14:17
router,7.179,159.024,src/trpc/routers/polls.ts:44:21
query,7.151,7.392,src/trpc/routers/polls.ts:126:15
Identifier: any,7.138,7.138,src/components/user-dropdown.tsx:65:28
toISOString,7.121,7.121,src/components/poll/scheduled-event.tsx:25:11
map,7.050,7.050,src/components/discussion/discussion.tsx:235:31
t,6.951,6.951,src/app/[locale]/quick-create/page.tsx:21:7
forwardRef,6.941,6.941,../../packages/ui/src/avatar.tsx:7:15
NextAuth,6.935,6.935,src/next-auth.ts:149:7
cancel,6.934,6.934,src/components/poll/desktop-poll/participant-row-form.tsx:56:11
enum,6.918,6.918,src/trpc/routers/polls.ts:518:16
some,6.851,8.395,src/components/poll/voting-form.tsx:81:26
useMutation,6.805,6.906,src/components/create-poll.tsx:43:51
Identifier: Process,6.766,9.168,playwright.config.ts:5:11
map,6.760,6.760,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:461:46
mutation,6.708,9.574,src/trpc/routers/auth.ts:40:15
object,6.682,6.682,src/next-auth.ts:21:28
map,6.639,6.639,src/components/new-participant-modal.tsx:71:17
useReactTable,6.633,44.105,src/app/[locale]/(admin)/events/event-list.tsx:13:16
map,6.589,6.589,src/components/poll/desktop-poll.tsx:298:21
Identifier: any,6.581,6.581,src/app/[locale]/invite/[urlId]/invite-page.tsx:33:13
ThisKeyword: this,6.571,18.387,../../packages/emails/src/send-email.tsx:194:11
mutation,6.570,6.570,src/trpc/routers/polls/comments.ts:85:25
FirstBinaryOperator: any,6.564,6.564,src/components/poll/scheduled-event.tsx:126:7
mutation,6.519,15.433,src/trpc/routers/polls.ts:300:15
router,6.482,25.568,src/trpc/routers/user.ts:26:28
forwardRef,6.428,6.428,../../packages/ui/src/command.tsx:107:25
createEnv,6.411,36.650,src/env.ts:4:30
delete,6.395,6.395,tests/next-auth-migration.spec.ts:21:10
fromNow,6.390,6.390,src/components/event-card.tsx:64:19
Identifier: any,6.363,6.363,src/app/[locale]/(admin)/mobile-navigation.tsx:48:11
forwardRef,6.357,6.357,../../packages/ui/src/tooltip.tsx:16:23
enum,6.354,6.354,src/trpc/routers/polls.ts:70:16
createClient,6.348,6.348,src/trpc/client/provider.tsx:71:8
NodemailerProvider,6.323,10.793,src/auth/providers/email.ts:16:17
join,6.257,10.194,src/components/poll/manage-poll/use-csv-exporter.ts:15:17
Identifier: any,6.253,6.253,src/components/event-card.tsx:80:11
forwardRef,6.146,6.146,../../packages/ui/src/dropdown-menu.tsx:76:5
update,6.120,8.405,src/trpc/routers/polls.ts:337:12
createEnv,6.071,6.071,src/env.ts:4:30
map,6.053,6.369,src/features/quick-create/quick-create-widget.tsx:58:21
CredentialsProvider,6.051,6.051,src/auth/providers/registration-token.ts:9:62
router,5.975,62.799,src/trpc/routers/polls.ts:44:29
Identifier: any,5.965,5.965,src/features/quick-create/quick-create-widget.tsx:120:11
