Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
memo,1062.484,2.160,492,components/Loading.tsx:5:11,117.430
forwardRef,927.228,6.576,141,components/ui/tooltip.tsx:12:23,354.461
handleSubmit,660.984,132.197,5,routes/website/add.tsx:75:9,645.151
extend,534.186,19.785,27,../server/prisma/zod/user.ts:32:78,40.148
object,489.294,3.306,148,../server/trpc/routers/workspace.ts:211:44,65.853
defineConfig,472.855,157.618,3,vite.config.ts:7:15,466.312
all,471.828,26.213,18,components/website/WebsiteOverview.tsx:78:10,211.359
lazy,442.444,3.687,120,../server/prisma/zod/website.ts:31:71,11.529
map,353.231,3.182,111,components/layout/Nav.tsx:63:18,79.753
record,315.631,35.070,9,../server/prisma/zod/schemas/index.ts:3:35,282.941
router,306.067,5.277,58,../server/trpc/routers/monitor.ts:38:37,42.763
meta,256.879,1.147,224,../server/trpc/routers/monitor.ts:607:13,11.252
array,179.733,4.279,42,../server/prisma/zod/schemas/index.ts:13:9,17.031
navigate,176.679,5.354,33,components/CommandPanel/index.tsx:52:22,133.506
Identifier: <TFieldValues extends Fie,161.227,161.227,1,components/ui/form.tsx:38:7,161.227
createFileRoute,152.742,9.546,16,routes/index.tsx:3:21,108.733
union,144.986,4.142,35,../server/prisma/zod/workspacebill.ts:8:51,12.615
addChildren,127.622,3.867,33,routeTree.gen.ts:427:14,34.248
t,116.645,1.423,82,components/layout/Header.tsx:14:14,8.059
accessor,115.869,4.828,24,routes/settings/workspace.tsx:145:13,21.685
mutation,88.957,1.348,66,../server/trpc/routers/feed/integration.ts:64:15,16.694
useQuery,84.702,2.647,32,components/monitor/MonitorHealthBar.tsx:196:45,7.974
query,82.788,0.812,102,../server/trpc/routers/feed/index.ts:226:15,11.391
update,79.131,1.199,66,routeTree.gen.ts:177:29,7.135
Identifier: any,78.051,4.878,16,components/ui/resizable.tsx:35:21,20.309
useMemo,77.379,1.517,51,components/server/ServerRowExpendView.tsx:26:13,18.375
TianjiPrismaAdapter,70.427,70.427,1,../server/model/auth.ts:99:11,70.427
use,70.007,7.779,9,../server/trpc/trpc.ts:60:31,58.778
findUnique,65.564,2.115,31,../server/model/auth.ts:193:9,27.038
create,64.420,1.263,51,../server/model/monitor/manager.ts:47:16,10.310
input,63.666,1.137,56,../server/trpc/routers/ai.ts:29:7,15.205
retry,55.518,9.253,6,../server/model/billing/credit.ts:63:7,53.250
findMany,54.508,3.206,17,../server/trpc/routers/monitor.ts:644:13,8.356
compact,53.775,3.585,15,components/survey/useSurveyListColumns.tsx:27:20,19.293
pick,53.489,4.115,13,../server/trpc/routers/website.ts:652:33,21.904
useMutation,53.234,1.972,27,routes/feed/add.tsx:21:25,14.472
useEvent,51.348,1.317,39,routes/feed/$channelId/edit.tsx:37:33,9.262
getQueryKey,48.494,48.494,1,components/website/WebsiteInfo.tsx:39:18,48.494
groupBy,47.881,3.420,14,../server/trpc/routers/website.ts:279:24,11.063
useReactTable,45.378,9.076,5,components/DataTable.tsx:52:16,39.101
isTransferable,45.172,45.172,1,../server/utils/sandbox.ts:121:9,45.172
useInfiniteQuery,42.365,4.707,9,components/website/WebsiteLighthouseBtn.tsx:44:78,23.841
merge,42.096,4.677,9,../server/trpc/routers/workspace.ts:210:15,16.501
immer,41.784,10.446,4,store/user.ts:16:63,35.334
context,38.366,9.591,4,../server/trpc/trpc.ts:28:10,37.198
useRouterState,32.539,16.269,2,components/CommonList.tsx:30:23,32.396
findFirst,31.484,1.499,21,../server/model/auth.ts:282:13,5.037
literal,29.151,5.830,5,../server/trpc/routers/ai.ts:36:20,13.344
useForm,29.103,1.819,16,routes/website/add.tsx:44:15,15.552
get,27.493,2.115,13,../server/model/website/insights.ts:153:81,8.111
enum,26.168,2.908,9,../server/prisma/zod/schemas/index.ts:17:12,9.188
setSync,22.538,11.269,2,../server/utils/sandbox.ts:153:5,20.776
$transaction,22.348,0.931,24,../server/model/billing/credit.ts:38:47,6.444
redirect,19.668,6.556,3,utils/route.ts:10:20,10.326
fetchDataByCursor,17.017,2.431,7,../server/trpc/routers/website.ts:664:42,5.794
anonymous,16.521,1.180,14,components/MarkdownEditor/index.tsx:5:45,4.751
cn,15.531,0.914,17,components/ui/calendar.tsx:17:15,3.649
info,14.617,3.654,4,components/monitor/provider/custom.tsx:33:17,5.374
execa,14.351,4.784,3,../server/model/notification/provider/apprise.ts:22:10,8.047
Identifier: { expiredAt: Date | null;,13.757,6.878,2,../server/model/user.ts:396:9,10.380
delete,12.645,2.529,5,../server/trpc/routers/workspace.ts:190:12,4.751
display,12.440,0.957,13,components/server/ServerList.tsx:49:27,3.176
on,11.872,5.936,2,../server/ws/shared.ts:65:32,11.069
