Function Name,Self (ms),Duration (ms),Location
handleSubmit,645.151,645.151,routes/website/add.tsx:75:9
defineConfig,466.312,472.855,vite.config.ts:7:15
forwardRef,354.461,354.461,components/ui/tooltip.tsx:12:23
record,282.941,282.941,../server/prisma/zod/schemas/index.ts:3:35
all,211.359,211.847,components/website/WebsiteOverview.tsx:78:10
all,164.056,164.056,routes/settings/billing.tsx:51:10
Identifier: <TFieldValues extends Fie,161.227,161.227,components/ui/form.tsx:38:7
forwardRef,138.446,138.446,components/ui/input.tsx:10:13
navigate,133.506,133.506,components/CommandPanel/index.tsx:52:22
memo,117.430,117.430,components/Loading.tsx:5:11
createFileRoute,108.733,108.733,routes/index.tsx:3:21
map,79.753,80.423,components/layout/Nav.tsx:63:18
TianjiPrismaAdapter,70.427,70.427,../server/model/auth.ts:99:11
object,65.853,65.853,../server/trpc/routers/workspace.ts:211:44
use,58.778,58.778,../server/trpc/trpc.ts:60:31
all,55.585,55.585,components/telemetry/TelemetryOverview.tsx:79:10
retry,53.250,53.250,../server/model/billing/credit.ts:63:7
getQueryKey,48.494,48.494,components/website/WebsiteInfo.tsx:39:18
isTransferable,45.172,45.172,../server/utils/sandbox.ts:121:9
map,43.839,49.108,components/DataTable.tsx:88:25
router,42.763,108.636,../server/trpc/routers/monitor.ts:38:37
extend,40.148,40.148,../server/prisma/zod/user.ts:32:78
useReactTable,39.101,39.461,components/DataTable.tsx:52:16
extend,37.947,37.947,../server/prisma/zod/workspace.ts:48:88
context,37.198,46.550,../server/trpc/trpc.ts:28:10
immer,35.334,36.798,store/user.ts:16:63
map,35.197,115.620,components/layout/Nav.tsx:62:16
addChildren,34.248,53.146,routeTree.gen.ts:427:14
useRouterState,32.396,341.203,components/CommonList.tsx:30:23
extend,30.177,30.177,../server/prisma/zod/websitesession.ts:36:98
findUnique,27.038,57.930,../server/model/auth.ts:193:9
extend,26.106,26.106,../server/prisma/zod/monitor.ts:43:84
extend,26.064,26.064,../server/prisma/zod/account.ts:30:84
router,25.796,110.814,../server/trpc/routers/website.ts:48:37
extend,25.192,25.192,../server/prisma/zod/website.ts:31:84
extend,24.260,24.260,../server/prisma/zod/userapikey.ts:23:90
useInfiniteQuery,23.841,25.500,components/website/WebsiteLighthouseBtn.tsx:44:78
extend,23.659,23.659,../server/prisma/zod/feedchannel.ts:27:92
router,23.634,119.985,../server/trpc/routers/monitor.ts:38:37
object,23.615,28.616,../server/prisma/zod/schemas/index.ts:5:52
extend,23.116,23.116,../server/prisma/zod/surveyresult.ts:44:94
addChildren,22.522,302.102,routeTree.gen.ts:426:48
extend,22.108,22.108,../server/prisma/zod/telemetrysession.ts:33:102
pick,21.904,21.904,../server/trpc/routers/website.ts:652:33
router,21.736,110.527,../server/trpc/routers/website.ts:48:37
accessor,21.685,34.525,routes/settings/workspace.tsx:145:13
setSync,20.776,20.776,../server/utils/sandbox.ts:153:5
Identifier: any,20.309,20.309,components/ui/resizable.tsx:35:21
extend,19.295,19.295,../server/prisma/zod/telemetry.ts:25:88
compact,19.293,27.997,components/survey/useSurveyListColumns.tsx:27:20
extend,18.847,18.847,../server/prisma/zod/websiteevent.ts:30:94
useMemo,18.375,38.307,components/server/ServerRowExpendView.tsx:26:13
extend,18.274,18.274,../server/prisma/zod/websiteeventdata.ts:27:102
accessor,18.025,18.025,components/server/ServerRowExpendView.tsx:50:12
useMemo,17.692,19.226,routes/settings/apiKey.tsx:41:11
extend,17.309,17.309,../server/prisma/zod/workspacedailyusage.ts:26:108
forwardRef,17.212,17.212,components/ui/button.tsx:84:13
array,17.031,35.768,../server/prisma/zod/schemas/index.ts:13:9
memo,16.941,17.741,components/insights/ChartRender.tsx:24:67
extend,16.803,16.803,../server/prisma/zod/feedevent.ts:40:88
mutation,16.694,16.931,../server/trpc/routers/feed/integration.ts:64:15
router,16.635,50.424,../server/trpc/routers/telemetry.ts:33:39
extend,16.571,16.571,../server/prisma/zod/survey.ts:36:82
merge,16.501,82.354,../server/trpc/routers/workspace.ts:210:15
merge,16.448,19.901,../server/trpc/routers/feed/index.ts:35:15
extend,16.048,16.048,../server/prisma/zod/session.ts:22:84
router,16.039,39.526,../server/trpc/routers/telemetry.ts:33:39
extend,15.961,15.961,../server/prisma/zod/websitesessiondata.ts:27:106
router,15.860,45.828,../server/trpc/routers/survey.ts:30:36
extend,15.757,15.757,../server/prisma/zod/telemetryevent.ts:36:98
createFileRoute,15.755,15.755,routes/index.tsx:3:21
router,15.670,57.781,../server/trpc/routers/survey.ts:30:36
useForm,15.552,15.552,routes/website/add.tsx:44:15
input,15.205,32.680,../server/trpc/routers/ai.ts:29:7
extend,14.729,14.729,../server/prisma/zod/notification.ts:34:94
useMutation,14.472,14.472,routes/feed/add.tsx:21:25
extend,14.425,14.425,../server/prisma/zod/workspaceauditlog.ts:24:104
extend,13.971,13.971,../server/prisma/zod/monitorevent.ts:22:94
extend,13.904,13.904,../server/prisma/zod/workspacesonusers.ts:23:104
forwardRef,13.819,13.819,components/ui/table.tsx:87:38
useMemo,13.788,24.960,components/server/ServerList.tsx:45:11
router,13.670,138.541,../server/trpc/routers/workspace.ts:33:39
memo,13.569,13.569,components/telemetry/TelemetryMetricsTable.tsx:67:13
accessor,13.362,13.362,routes/settings/workspace.tsx:153:9
literal,13.344,13.344,../server/trpc/routers/ai.ts:36:20
object,13.125,13.125,components/survey/SurveyEditForm.tsx:35:11
memo,13.101,17.924,routes/playground.tsx:87:55
map,12.768,12.768,components/CommandPanel/index.tsx:357:10
addChildren,12.716,22.765,routeTree.gen.ts:444:29
union,12.615,12.769,../server/prisma/zod/workspacebill.ts:8:51
object,12.484,12.484,../server/model/_schema/index.ts:37:23
useMutation,12.449,12.449,routes/feed/$channelId/edit.tsx:28:19
map,12.444,15.670,components/chart/TimeEventChart.tsx:120:19
forwardRef,12.353,12.353,components/ui/dropdown-menu.tsx:45:31
extend,12.176,12.176,../server/prisma/zod/monitorstatuspage.ts:39:104
object,12.112,12.112,../server/model/monitor/provider/openai.ts:27:33
memo,11.658,15.786,components/insights/TableView.tsx:24:18
object,11.651,31.301,../server/model/_schema/index.ts:26:30
union,11.593,11.593,../server/prisma/zod/monitorstatuspage.ts:9:51
lazy,11.529,37.033,../server/prisma/zod/website.ts:31:71
object,11.485,11.485,../server/prisma/zod/feedchannel.ts:6:38
all,11.483,13.391,../server/trpc/routers/monitor.ts:452:29
query,11.391,11.391,../server/trpc/routers/feed/index.ts:226:15
extend,11.380,11.380,../server/prisma/zod/monitorstatus.ts:31:96
object,11.269,47.946,../server/trpc/routers/ai.ts:30:12
map,11.253,11.253,components/billing/usePlans.tsx:128:50
meta,11.252,12.363,../server/trpc/routers/monitor.ts:607:13
memo,11.097,41.737,components/CommandPanel/index.tsx:247:14
on,11.069,12.091,../server/ws/shared.ts:65:32
groupBy,11.063,11.063,../server/trpc/routers/website.ts:279:24
meta,11.039,11.039,../server/trpc/routers/feed/index.ts:231:17
memo,10.979,11.538,components/monitor/MonitorPublicDataChart.tsx:40:14
extend,10.965,10.965,../server/prisma/zod/monitordata.ts:21:92
map,10.920,10.920,components/billing/usePlans.tsx:127:15
lazy,10.902,53.256,../server/prisma/zod/user.ts:32:65
forwardRef,10.670,10.670,components/ui/avatar.tsx:35:20
memo,10.605,10.605,components/chart/SimplePieChart.tsx:94:9
forwardRef,10.551,10.551,components/ui/switch.tsx:6:15
compact,10.527,22.110,../server/model/auth.ts:35:22
object,10.484,10.484,components/monitor/StatusPage/schema.ts:3:30
memo,10.456,10.456,components/layout/UserConfig.tsx:104:11
meta,10.456,21.062,../server/trpc/routers/user.ts:22:9
memo,10.397,13.949,components/monitor/MonitorDataChart.tsx:34:77
forwardRef,10.393,10.393,components/ui/chart.tsx:108:28
Identifier: { expiredAt: Date | null;,10.380,24.439,../server/model/user.ts:396:9
router,10.364,24.696,../server/trpc/routers/billing.ts:26:37
redirect,10.326,10.326,utils/route.ts:10:20
router,10.319,183.830,../server/trpc/routers/feed/index.ts:25:26
addChildren,10.311,16.193,routeTree.gen.ts:460:28
create,10.310,10.310,../server/model/monitor/manager.ts:47:16
router,10.266,63.253,../server/trpc/routers/workspace.ts:33:39
accessor,10.236,10.236,components/server/ServerList.tsx:80:10
meta,10.194,10.194,../server/trpc/routers/telemetry.ts:192:13
Identifier: any,10.164,10.164,routes/login.tsx:166:11
forwardRef,10.088,10.088,components/ui/radio-group.tsx:11:11
object,9.855,9.855,../server/model/prompt/survey.ts:24:42
forwardRef,9.794,9.794,components/ui/tooltip.tsx:15:54
array,9.742,43.517,../server/prisma/zod/schemas/index.ts:24:11
object,9.739,9.739,../server/model/_schema/feed.ts:7:16
Identifier: Window & typeof globalThi,9.684,9.684,utils/env.ts:6:158
lazy,9.665,36.145,../server/prisma/zod/account.ts:30:71
lazy,9.647,26.677,../server/prisma/zod/feedevent.ts:40:75
union,9.616,14.302,../server/prisma/zod/telemetryevent.ts:9:51
lazy,9.604,35.994,../server/prisma/zod/survey.ts:36:13
lazy,9.578,26.390,../server/prisma/zod/survey.ts:36:69
map,9.454,9.454,components/CommandPanel/index.tsx:293:10
object,9.402,9.450,../server/trpc/routers/billing.ts:115:12
lazy,9.391,23.975,../server/prisma/zod/telemetryevent.ts:9:38
"Identifier: ""vertical""",9.334,9.485,routes/register.tsx:47:14
lazy,9.293,35.969,../server/prisma/zod/feedevent.ts:40:13
forwardRef,9.292,9.374,components/ui/menubar.tsx:87:6
useEvent,9.262,10.317,routes/feed/$channelId/edit.tsx:37:33
router,9.247,50.805,../server/trpc/routers/user.ts:21:34
accessor,9.245,9.245,routes/settings/workspace.tsx:167:10
loggerLink,9.192,9.192,api/trpc.ts:33:11
enum,9.188,9.316,../server/prisma/zod/schemas/index.ts:17:12
array,9.148,9.148,../server/model/monitor/provider/openai.ts:14:10
mutation,9.118,15.374,../server/trpc/routers/survey.ts:140:15
groupBy,9.085,9.085,../server/trpc/routers/insights.ts:58:24
union,9.039,13.297,../server/prisma/zod/survey.ts:9:51
findSession,9.021,9.384,../server/model/telemetry.ts:31:8
extend,8.994,8.994,../server/prisma/zod/workspacesubscription.ts:23:112
accessor,8.986,12.841,routes/settings/workspace.tsx:148:78
memo,8.912,8.912,components/website/WebsiteList.tsx:75:9
useInfiniteQuery,8.906,8.906,routes/settings/auditLog.tsx:34:76
forwardRef,8.892,8.892,components/ui/table.tsx:72:38
forwardRef,8.864,8.864,components/ui/command.tsx:57:20
Identifier: any,8.860,8.860,routes/switchWorkspace.tsx:62:13
lazy,8.831,35.183,../server/prisma/zod/monitor.ts:43:71
lazy,8.818,18.167,../server/prisma/zod/workspacesubscription.ts:23:99
forwardRef,8.775,8.775,components/ui/scroll-area.tsx:27:64
router,8.769,15.760,../server/trpc/routers/notification.ts:11:42
forwardRef,8.761,8.761,components/ui/radio-group.tsx:21:23
use,8.755,8.755,components/MarkdownEditor/plugins.ts:8:19
useEvent,8.729,8.911,components/survey/SurveyDownloadBtn.tsx:52:34
memo,8.713,17.355,components/telemetry/TelemetryOverview.tsx:20:17
createOpenApiExpressMiddleware,8.687,8.687,../server/trpc/index.ts:22:38
object,8.668,16.884,../server/prisma/zod/schemas/index.ts:29:27
record,8.634,8.634,../server/prisma/zod/surveyresult.ts:9:96
lazy,8.459,46.680,../server/prisma/zod/workspace.ts:48:75
router,8.442,74.216,../server/trpc/routers/user.ts:21:34
memo,8.414,8.837,components/website/WebsiteConfig.tsx:23:74
object,8.413,8.413,../server/model/_schema/feed.ts:15:19
groupBy,8.362,8.362,../server/trpc/routers/survey.ts:112:24
findMany,8.356,8.356,../server/trpc/routers/monitor.ts:644:13
mutation,8.288,8.462,../server/trpc/routers/feed/integration.ts:206:15
forwardRef,8.273,8.273,components/ui/dropdown-menu.tsx:101:57
object,8.228,11.769,../server/model/_schema/feed.ts:35:16
query,8.209,8.209,../server/trpc/routers/ai.ts:74:21
array,8.199,8.199,../server/trpc/routers/workspace.ts:407:24
handleSubmit,8.191,8.191,routes/website/add.tsx:76:11
forwardRef,8.178,8.352,components/ui/dropdown-menu.tsx:61:28
memo,8.154,8.154,components/CommonHeader.tsx:27:24
useUserInfo,8.152,1635.868,store/user.ts:66:12
lazy,8.124,27.340,../server/prisma/zod/monitorstatuspage.ts:39:13
lazy,8.115,32.084,../server/prisma/zod/feedchannel.ts:27:79
get,8.111,8.111,../server/model/website/insights.ts:153:81
union,8.098,13.380,../server/prisma/zod/monitor.ts:9:51
object,8.098,15.822,../server/model/_schema/index.ts:14:46
findMany,8.071,8.071,../server/trpc/routers/survey.ts:42:24
array,8.069,8.069,../server/prisma/zod/workspace.ts:9:75
t,8.059,8.059,components/layout/Header.tsx:14:14
execa,8.047,14.351,../server/model/notification/provider/apprise.ts:22:10
useEvent,8.044,8.044,components/survey/SurveyDownloadBtn.tsx:52:34
addChildren,8.034,8.034,routeTree.gen.ts:453:27
useQuery,7.974,7.974,components/monitor/MonitorHealthBar.tsx:196:45
object,7.943,21.633,../server/trpc/routers/ai.ts:34:19
lazy,7.903,44.936,../server/prisma/zod/website.ts:31:13
memo,7.893,7.893,components/website/WebsiteLighthouseBtn.tsx:154:13
object,7.885,18.737,../server/prisma/zod/schemas/index.ts:13:18
meta,7.884,7.884,../server/trpc/routers/user.ts:46:18
memo,7.882,8.594,components/monitor/StatusPage/Body.tsx:86:17
forwardRef,7.866,7.866,components/ui/alert.tsx:51:38
meta,7.863,15.487,../server/trpc/routers/monitor.ts:98:17
memo,7.841,7.841,components/WorkspaceSwitcher.tsx:233:11
memo,7.835,36.493,components/website/WebsiteLighthouseBtn.tsx:37:14
lazy,7.723,17.647,../server/prisma/zod/lemonsqueezywebhookevent.ts:8:38
object,7.712,20.079,../server/model/_schema/feed.ts:47:19
memo,7.693,7.693,components/survey/SurveyAIBtn/SurveyAISummary.tsx:49:10
map,7.666,7.666,components/WebhookPlayground.tsx:86:19
accessor,7.633,7.633,routes/settings/apiKey.tsx:57:19
meta,7.624,7.624,../server/trpc/routers/monitor.ts:98:17
memo,7.617,7.617,components/server/AddServerStep.tsx:81:15
getValue,7.612,7.612,components/server/ServerRowExpendView.tsx:111:29
lazy,7.572,20.624,../server/prisma/zod/workspacebill.ts:8:38
union,7.500,15.775,../server/model/_schema/feed.ts:5:15
all,7.494,8.744,../server/model/workspace.ts:77:79
forwardRef,7.425,14.332,components/ui/dropdown-menu.tsx:98:33
Identifier: any,7.420,7.420,routes/telemetry.tsx:74:20
compact,7.409,7.409,routes/settings/notifications.tsx:89:9
createRootRouteWithContext,7.403,10.259,routes/__root.tsx:11:21
meta,7.394,7.394,../server/trpc/routers/workspace.ts:244:18
accessor,7.384,7.384,components/survey/useSurveyListColumns.tsx:27:21
findUnique,7.365,7.365,../server/model/user.ts:200:21
meta,7.317,10.050,../server/trpc/routers/website.ts:373:11
map,7.304,7.304,components/survey/SurveyAIBtn/SurveyAITranslation.tsx:149:42
record,7.280,8.742,../server/prisma/zod/schemas/index.ts:3:35
forwardRef,7.264,7.264,components/ui/table.tsx:22:38
forwardRef,7.255,7.255,components/ui/checkbox.tsx:7:17
