Function Name,Self (ms),Duration (ms),Location
object,129.256,129.256,model/billing/limit.ts:6:31
isTransferable,80.328,84.035,utils/sandbox.ts:121:9
TianjiPrismaAdapter,76.967,76.967,model/auth.ts:99:11
object,71.553,71.553,model/_schema/index.ts:58:77
compose,49.837,49.837,middleware/validate.ts:18:18
use,46.151,46.151,trpc/trpc.ts:60:31
extend,41.365,41.365,prisma/zod/workspace.ts:48:88
router,39.219,91.978,trpc/routers/monitor.ts:38:37
Identifier: typeof Server,31.935,31.935,ws/index.ts:11:13
extend,30.724,30.904,prisma/zod/websitesession.ts:36:98
extend,30.583,30.583,prisma/zod/website.ts:31:84
compose,30.442,80.279,middleware/validate.ts:18:9
groupBy,29.531,37.838,trpc/routers/website.ts:117:53
extend,28.146,28.146,prisma/zod/websiteevent.ts:30:94
extend,28.006,28.006,prisma/zod/user.ts:32:78
router,25.728,125.867,trpc/routers/monitor.ts:38:37
findUnique,25.556,71.340,model/auth.ts:193:9
pick,25.090,25.090,trpc/routers/website.ts:652:33
extend,24.807,24.807,prisma/zod/surveyresult.ts:44:94
extend,23.737,23.737,prisma/zod/userapikey.ts:23:90
extend,23.419,23.419,prisma/zod/monitor.ts:43:84
extend,22.439,22.439,prisma/zod/telemetrysession.ts:33:102
post,22.219,42.157,router/website.ts:14:39
setSync,21.916,21.916,utils/sandbox.ts:153:5
merge,20.343,20.343,trpc/routers/feed/index.ts:35:15
extend,20.182,20.182,prisma/zod/account.ts:30:84
router,20.094,44.738,trpc/routers/survey.ts:30:36
extend,19.529,19.529,prisma/zod/telemetry.ts:25:88
extend,18.489,19.187,prisma/zod/feedchannel.ts:27:92
union,18.374,18.374,prisma/zod/workspace.ts:9:51
extend,18.310,18.542,prisma/zod/feedevent.ts:40:88
extend,17.896,17.896,prisma/zod/websiteeventdata.ts:27:102
router,17.778,41.819,trpc/routers/survey.ts:30:36
router,17.522,49.732,trpc/routers/workspace.ts:33:39
extend,17.338,17.338,prisma/zod/workspacesubscription.ts:23:112
extend,17.232,17.232,prisma/zod/telemetryevent.ts:36:98
extend,16.798,16.798,prisma/zod/survey.ts:36:82
extend,16.789,16.789,prisma/zod/workspacesonusers.ts:23:104
router,16.708,152.036,trpc/routers/website.ts:48:37
retry,16.195,16.195,model/billing/credit.ts:63:7
extend,15.938,15.938,prisma/zod/workspacedailyusage.ts:26:108
middleware,15.889,15.889,trpc/trpc.ts:62:27
object,15.582,15.582,prisma/zod/workspacesubscription.ts:6:48
extend,15.099,15.279,prisma/zod/monitorstatuspage.ts:39:104
